epoch,step,train_loss_step
0,9,73.52012634277344
0,19,47.995948791503906
0,29,40.644744873046875
0,39,32.3880615234375
0,49,32.36548614501953
0,59,27.81283187866211
0,69,27.64586067199707
0,79,23.021162033081055
0,89,29.223642349243164
0,99,22.910236358642578
0,109,21.334148406982422
0,119,22.405818939208984
0,129,20.567359924316406
0,139,20.298843383789062
0,149,22.785459518432617
0,159,18.837493896484375
0,169,17.934484481811523
0,179,26.647825241088867
0,189,21.649173736572266
0,199,18.38055992126465
0,209,17.57509994506836
0,219,15.510191917419434
0,229,16.498090744018555
0,239,14.880735397338867
0,249,16.63566017150879
0,259,15.90707778930664
0,269,13.203577995300293
0,279,14.017251014709473
0,289,14.916946411132812
0,299,18.37525749206543
0,309,13.82858943939209
0,319,12.381625175476074
0,329,12.229230880737305
0,339,13.342123031616211
