timestamp,actual,type,forecast,forecast_p10,forecast_p90
2023-12-01,1352.131157,actual,,,
2024-01-01,1370.743302,actual,,,
2024-02-01,1401.303058,actual,,,
2024-03-01,1442.917854,actual,,,
2024-04-01,1473.157825,actual,,,
2024-05-01,1527.547575,actual,,,
2024-06-01,1603.249643,actual,,,
2024-07-01,1566.832797,actual,,,
2024-08-01,1530.407614,actual,,,
2024-09-01,1498.89207,actual,,,
2024-10-01,1506.263154,actual,,,
2024-11-01,1581.085986,actual,,,
2024-12-01,1591.55761,actual,,,
2025-01-01,1643.44917,actual,,,
2025-02-01,1848.302187,actual,,,
2025-03-01,1787.449125,actual,,,
2025-04-01,1463.368975,actual,,,
2025-05-01,1588.395326,actual,,,
2025-06-01,1667.883046,actual,,,
2025-07-01,1632.842055,actual,,,
2025-08-01,1456.397904,actual,,,
2025-09-01,1634.041752,actual,,,
2025-10-01,1654.065972,actual,,,
2025-11-01,1705.957652,actual,,,
2025-12-01,1506.09334,actual,,,
2026-01-01,,forecast,1608.1618829624288,1602.9033598207338,1619.3644467429008
2026-02-01,,forecast,1847.5947680967972,1845.3282349139329,1862.8416190879473
2026-03-01,,forecast,1784.915339426381,1781.0725234415522,1796.5483332590443
2026-04-01,,forecast,1463.889474196058,1456.9840092955783,1471.4781372576829
2026-05-01,,forecast,1589.7481522302905,1584.4472215581236,1597.8691649377593
2026-06-01,,forecast,1671.7671475865534,1667.4406135527424,1681.1033059274507
2026-07-01,,forecast,1633.2530011062306,1629.3894387399507,1639.99487608597
2026-08-01,,forecast,1460.544127658195,1454.8300690077153,1466.6345194583116
2026-09-01,,forecast,1634.500640235996,1630.7217141305757,1641.183032530472
2026-10-01,,forecast,1655.092910703287,1651.3903094406444,1662.1944889052775
2026-11-01,,forecast,1707.9581633128566,1704.2253534467388,1716.8445482689315
2026-12-01,,forecast,1512.1214209592194,1506.023336196836,1520.412589551997
2027-01-01,,forecast,1648.0042552393995,1642.8720475192881,1659.190833887124
2027-02-01,,forecast,1853.27783810944,1850.9735613937694,1867.938333725039
2027-03-01,,forecast,1788.4565921007845,1784.6033120056406,1800.611268862649
2027-04-01,,forecast,1463.2211625348482,1456.3711773251102,1470.7249598839471
2027-05-01,,forecast,1588.1823705142958,1582.9047750259335,1596.2279564315352
2027-06-01,,forecast,1671.3582054549727,1667.0649930708637,1680.713140843815
