dong,timestamp,pred_p10,pred_p50,pred_p90
가락동,2026-01-01,1603.8662109375,1609.141357421875,1620.345703125
가락동,2026-02-01,1844.523681640625,1846.831298828125,1862.07861328125
가락동,2026-03-01,1778.4381103515625,1782.328857421875,1793.775390625
가락동,2026-04-01,1457.0465087890625,1463.950439453125,1471.533935546875
가락동,2026-05-01,1583.9580078125,1589.263671875,1597.383056640625
가락동,2026-06-01,1667.14208984375,1671.4903564453125,1680.80078125
가락동,2026-07-01,1629.399658203125,1633.26904296875,1640.0123291015625
가락동,2026-08-01,1454.6773681640625,1460.395263671875,1466.48828125
가락동,2026-09-01,1630.8046875,1634.587890625,1641.274169921875
가락동,2026-10-01,1651.599853515625,1655.308837890625,1662.4095458984375
가락동,2026-11-01,1703.91064453125,1707.653564453125,1716.52734375
가락동,2026-12-01,1506.725341796875,1512.82275390625,1521.113525390625
가락동,2027-01-01,1643.5712890625,1648.71435546875,1659.89697265625
가락동,2027-02-01,1850.622802734375,1852.967041015625,1867.615966796875
가락동,2027-03-01,1785.085693359375,1788.966552734375,1801.1318359375
가락동,2027-04-01,1456.5081787109375,1463.3636474609375,1470.86962890625
가락동,2027-05-01,1583.016845703125,1588.3009033203125,1596.353515625
가락동,2027-06-01,1666.861572265625,1671.178466796875,1680.503173828125
가락동,2027-07-01,1629.275390625,1633.127197265625,1639.8475341796875
가락동,2027-08-01,1454.688720703125,1460.396484375,1466.4580078125
가락동,2027-09-01,1630.281982421875,1634.0531005859375,1640.703857421875
가락동,2027-10-01,1650.8349609375,1654.5283203125,1661.5966796875
가락동,2027-11-01,1703.967041015625,1707.6875,1716.5242919921875
가락동,2027-12-01,1507.334716796875,1513.4166259765625,1521.668212890625
가락동,2028-01-01,1639.53515625,1644.6279296875,1655.6915283203125
가락동,2028-02-01,1847.79541015625,1850.20361328125,1864.4241943359375
가락동,2028-03-01,1782.3038330078125,1786.15576171875,1798.19970703125
가락동,2028-04-01,1456.0574951171875,1462.8941650390625,1470.3642578125
가락동,2028-05-01,1582.772705078125,1588.008056640625,1596.032470703125
가락동,2028-06-01,1666.72802734375,1671.017578125,1680.328125
가락동,2028-07-01,1629.1209716796875,1632.962646484375,1639.665771484375
가락동,2028-08-01,1454.755126953125,1460.456787109375,1466.495849609375
가락동,2028-09-01,1629.853759765625,1633.6171875,1640.238037109375
가락동,2028-10-01,1650.213623046875,1653.896240234375,1660.93994140625
가락동,2028-11-01,1703.9404296875,1707.6455078125,1716.454345703125
가락동,2028-12-01,1507.72705078125,1513.79736328125,1522.017578125
