epoch,step,train_loss_step
0,9,64.58908081054688
0,19,33.500999450683594
0,29,26.46662139892578
0,39,21.748727798461914
0,49,24.29291343688965
0,59,22.453641891479492
0,69,20.046085357666016
0,79,19.665081024169922
0,89,20.82443618774414
0,99,18.713340759277344
0,109,16.827930450439453
0,119,14.908302307128906
0,129,15.454975128173828
0,139,13.25064754486084
0,149,11.918757438659668
0,159,11.618451118469238
0,169,11.15022087097168
0,179,11.216236114501953
0,189,10.254865646362305
0,199,8.65011978149414
0,209,9.742873191833496
0,219,13.105762481689453
0,229,10.88414478302002
0,239,9.275684356689453
0,249,7.418517112731934
0,259,6.786090850830078
0,269,7.622854232788086
0,279,9.901960372924805
0,289,6.675397872924805
0,299,9.907573699951172
0,309,6.545875549316406
0,319,7.823328018188477
0,329,7.122122287750244
0,339,6.532586574554443
0,349,10.533454895019531
0,359,6.451882839202881
0,369,7.048496246337891
0,379,6.98364782333374
0,389,6.576813697814941
0,399,7.698857307434082
0,409,6.3090715408325195
0,419,6.8961029052734375
0,429,6.66877555847168
