timestamp,q10,median,q90,mean,std,actual
2024-01-01,1352.1311792462075,1352.1311792462075,1352.1311792462075,1352.1311792462075,0.0,1370.743302
2024-02-01,1350.343714846242,1385.9907214003736,1435.1635337110104,1388.7300904135545,40.023439301400714,1401.303058
2024-03-01,1338.3843758185803,1383.5026870844558,1429.7530447469026,1385.0947737404035,42.36580642915896,1442.917854
2024-04-01,1336.1708820040815,1375.1289715970279,1427.2645608587513,1378.5909527800045,40.426647474941376,1473.157825
2024-05-01,1339.5998931066383,1398.7393766552577,1444.781058499779,1396.529443208309,42.64450560097211,1527.547575
2024-06-01,1375.8890458780058,1421.2343276360652,1468.781045643706,1421.8773859065093,45.80073693704533,1603.249643
2024-07-01,1372.4047359799652,1423.5640828992491,1470.206151531807,1420.750902942812,41.38126770076392,1566.832797
2024-08-01,1389.2102332530171,1430.5518885195706,1485.18445980734,1434.085410658724,40.681071740949996,1530.407614
2024-09-01,1390.351491177732,1436.8000584660294,1484.8550620881852,1436.8749830646036,38.592391704696915,1498.89207
2024-10-01,1342.4946647332217,1387.6454505389934,1435.431567406775,1389.541627359749,41.02859465506453,1506.263154
2024-11-01,1336.9425976664768,1388.0900685426864,1469.1578309097251,1395.3835911350388,50.99013764930834,1581.085986
2024-12-01,1325.7947299361774,1366.3206335638754,1419.9580814159356,1369.10175960791,40.94640547849616,1591.55761
2025-01-01,1297.3472436652419,1353.8897873162798,1389.148063432533,1350.1460674678415,38.681752829841564,1643.44917
2025-02-01,1320.8438975431768,1357.5209107643145,1407.5805851904615,1358.5433469358804,38.035723094219044,1848.302187
2025-03-01,1351.2968145644727,1385.353937131468,1426.3217881344985,1387.9297986750023,36.42480037175139,1787.449125
2025-04-01,1349.3041731095686,1388.419699982971,1432.6802932647013,1388.5883838113223,36.62603543680432,1463.368975
2025-05-01,1372.170530478567,1416.7085813083302,1476.5671509414296,1418.0573036513126,37.654999161544666,1588.395326
2025-06-01,1383.5847650544415,1420.482759017203,1470.5463385142968,1423.2559615152181,34.71437785814056,1667.883046
2025-07-01,1377.986134813348,1417.2171998696458,1456.6209175930185,1416.0178701916739,39.32277592072302,1632.842055
2025-08-01,1384.1643407863994,1425.0676057533237,1485.3517096131304,1427.7905377990155,42.07702198676384,1456.397904
2025-09-01,1378.1272816840415,1424.064561193454,1459.9392121278556,1422.2268946234744,36.80467802085552,1634.041752
2025-10-01,1368.8646960544968,1411.7094697482203,1457.2104986584861,1410.6133016612357,33.820723725415284,1654.065972
2025-11-01,1330.7598263720436,1364.6111257415814,1414.152898598165,1369.1183614499016,33.98250028277566,1705.957652
2025-12-01,1309.476619752487,1344.8931133169108,1386.9877973715566,1347.5292562894447,32.88824018591137,1506.09334
