scenario,scenario_id,timestamp,value
Baseline_Actual,4,2024-08-01,1481.6930766708467
Baseline_Actual,4,2024-09-01,1436.5173546545714
Baseline_Actual,4,2024-10-01,1399.712028062997
Baseline_Actual,4,2024-11-01,1382.4890521828568
Baseline_Actual,4,2024-12-01,1354.1891055492874
Baseline_Actual,4,2025-01-01,1316.8727338349713
Baseline_Actual,4,2025-02-01,1309.0901870237421
Baseline_Actual,4,2025-03-01,1355.8323626014735
Baseline_Actual,4,2025-04-01,1314.4963965868847
Baseline_Actual,4,2025-05-01,1368.6870435422502
Baseline_Actual,4,2025-06-01,1382.1773142817729
Baseline_Actual,4,2025-07-01,1378.4848778339747
Baseline_Actual,4,2025-08-01,1430.0958642663818
Baseline_Actual,4,2025-09-01,1440.0396872653205
Baseline_Actual,4,2025-10-01,1388.521982368679
Baseline_Actual,4,2025-11-01,1408.0326648705409
Baseline_Actual,4,2025-12-01,1386.8977662994691
Baseline_Actual,5,2024-01-01,1352.1311792462075
Baseline_Actual,5,2024-02-01,1384.6884432549878
Baseline_Actual,5,2024-03-01,1407.8792930210018
Baseline_Actual,5,2024-04-01,1413.9590473776052
Baseline_Actual,5,2024-05-01,1416.427796173349
Baseline_Actual,5,2024-06-01,1419.148794494121
Baseline_Actual,5,2024-07-01,1387.5170755639936
Baseline_Actual,5,2024-08-01,1422.3759613015902
Baseline_Actual,5,2024-09-01,1405.8030311307093
Baseline_Actual,5,2024-10-01,1373.5917590412882
Baseline_Actual,5,2024-11-01,1405.3078527100074
Baseline_Actual,5,2024-12-01,1406.5121937075885
Baseline_Actual,5,2025-01-01,1368.5422963315796
Baseline_Actual,5,2025-02-01,1418.7895552423229
Baseline_Actual,5,2025-03-01,1360.3799080096198
Baseline_Actual,5,2025-04-01,1392.5658752016848
Baseline_Actual,5,2025-05-01,1400.968662399846
Baseline_Actual,5,2025-06-01,1434.1237869393017
Baseline_Actual,5,2025-07-01,1446.3450224844535
Baseline_Actual,5,2025-08-01,1389.0212332742553
Baseline_Actual,5,2025-09-01,1468.2573236185658
Baseline_Actual,5,2025-10-01,1410.876143409049
