epoch,loss
1,0.8037628067864312
2,0.23420397854513592
3,0.2604241660899586
4,0.20720632788207796
5,0.1885187534822358
6,0.15952876831094423
7,0.1709854942229059
8,0.12188556417822838
9,0.1016926241831647
10,0.14690777079926598
11,0.15872402489185333
12,0.11466834632058938
13,0.14327201868096986
14,0.11626692861318588
15,0.08319778968062666
16,0.11743734445836809
17,0.1300502841671308
18,0.10467371717095375
19,0.12955551428927314
20,0.11645176841153039
21,0.08176782064967686
22,0.1494535414708985
23,0.057147437085707985
24,0.07306216574377483
25,0.0881655224495464
26,0.12263676079197063
27,0.06132817966863513
28,0.07483132493992646
29,0.053152763181262545
30,0.05575438914820552
31,0.024959672863284748
32,0.12566136113471454
33,0.08944861342509587
34,0.0476235912905799
35,0.036920005869534284
36,0.04795832311113676
37,0.06332713696691725
38,0.05980947696500354
39,0.05839516781270504
40,0.027717787875897355
41,0.06820493750274181
42,0.05082826709581746
43,0.05974066878358523
44,0.03188690874311659
45,0.07913707258800666
46,0.10588912810716364
47,0.05747996622489558
48,0.05825659798251258
49,0.06383848593880732
50,0.03523606827689542
51,0.05363562723828687
52,0.021242749308132462
53,0.03576937964599994
54,0.03377926453120179
55,0.041603963925606675
56,0.023339248158865504
57,0.03200659605984887
58,0.028038420610957675
59,0.015277014579623938
60,0.05759531269884772
61,0.041255824371344514
62,0.02233569342125621
63,0.03161553593559398
64,0.024763520289626386
65,0.03648199813647403
66,0.046804738593184285
67,0.024092003496156797
68,0.026921859269754753
69,0.07396451104432344
70,0.03100713911569781
71,0.04820522231360277
72,0.04257356385803885
73,0.04972583552201589
74,0.041969052619404264
75,0.05637062806636095
76,0.0465205293148756
77,0.03974053108443817
78,0.04687632040845023
79,0.037385627109971314
80,0.03922074898663494
81,0.03704302592409982
82,0.034674827526840896
83,0.02940351702272892
84,0.034584938548505306
85,0.044277565760744944
86,0.031001094470007554
87,0.04312746586381561
88,0.018847637188931305
89,0.015552362116674582
90,0.00872371206060052
91,0.036991039394504495
92,0.02249255755709277
93,0.0219291516372727
94,0.020298488282908995
95,0.013325546376614107
96,0.09054931139366494
97,0.0809457420061032
98,0.07355079975807005
99,0.03982017975714472
100,0.06007534617351161
101,0.029737603488481708
102,0.045193947567087084
103,0.020052952614302438
104,0.025161012282802
105,0.017812501225206587
106,0.04695533309131861
107,0.03490237144028975
108,0.04223129779307379
109,0.04334646002906892
110,0.03379528410732746
111,0.02005554171692994
112,0.032849113249944314
113,0.028292819961077638
114,0.044775238105406366
115,0.04103967775073317
116,0.03272965664250983
117,0.019585795209018722
118,0.013968496441116763
119,0.016496137405435245
120,0.012566789286211133
121,0.026441328693181276
122,0.009657120746042993
123,0.020653063483122323
124,0.018583602711765304
125,0.030763831144819658
126,0.01388462410411901
127,0.007814124899191989
128,0.006174490256752405
129,0.016451463646565873
130,0.02176733806522356
131,0.031465533991447754
132,0.02135344620587097
133,0.03516537892735667
134,0.02713780715647671
135,0.04793097037408087
136,0.04873848561611441
137,0.03885011840611696
138,0.04415009755434261
139,0.028454110233320132
140,0.024085804561360016
141,0.018514356317205563
142,0.040304847113374204
143,0.041503950436082154
144,0.03350426450682183
145,0.03757609302798907
146,0.062137976495756045
147,0.01975223163349761
148,0.020532419335924916
149,0.010348250002910694
150,0.023535374422661133
151,0.009617248498317268
152,0.011525799403898418
153,0.018906708263481658
154,0.008283642172399495
155,0.007008539771454202
156,0.013391513765479127
157,0.009345533817799555
158,0.011521857167180214
159,0.055263019580807954
160,0.030915442026323743
161,0.03455827326979488
162,0.021496666595339775
163,0.03292490842027797
164,0.0180893510631803
165,0.015471685626026657
166,0.010613495846175484
167,0.03157060665802823
168,0.01963963323376245
169,0.019292935987727508
170,0.012904465560697846
171,0.010015510100250443
172,0.008679752755496237
173,0.032806794003893934
174,0.023920189071860578
175,0.034465281603236995
176,0.03329833803905381
177,0.05543110597257813
178,0.03790965510739221
179,0.04569171948565377
180,0.023484511249181297
181,0.022600723611604836
182,0.0848935490163664
183,0.017308619597719774
184,0.014979559772958359
185,0.08406607315151228
186,0.0510950913756258
187,0.03486494337105089
188,0.017203894599030416
189,0.023774495503554743
190,0.01978093831955145
191,0.03211087852509485
192,0.019775525977214176
193,0.006270957231107686
194,0.006232475292765432
195,0.003417835467391544
196,0.003829777117870334
197,0.02526651569900827
198,0.02302560970808069
199,0.017724687207697168
200,0.021973512833938003
