column,adf_stat,p_value,stationary_at_5pct
ecos__base_rate,-1.9694858163971014,0.6179526743054747,0
ecos__cd_91d_rate,-1.6875957576967613,0.7562826398333162,0
ecos__cpi_housing,-2.663202428355437,0.2516765332295458,0
ecos__mortgage_rate_new,-1.7470427018940256,0.7297165189009237,0
ecos__unemployment_rate,-1.865149366171905,0.6725301089242504,0
reb__apt_jeonse_avg_price,-3.3894112392671216,0.05281881245900221,0
reb__apt_jeonse_supply_demand,-2.66989357568423,0.24879440771335526,0
reb__apt_monthly_rent_supply_demand,-4.45339281899481,0.0017973663833409366,1
reb__apt_sale_avg_price,-2.431132556929911,0.3632030957754482,0
reb__apt_sale_index,-2.3764151895184837,0.39223011907226774,0
reb__apt_sale_supply_demand,-2.260968438101981,0.4556477454094875,0
