timestamp,q10,median,q90,mean,std,scenario
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,Baseline_Actual
2024-02-01,1362.2190273035958,1373.5662668098364,1380.5824676080454,1371.2873947386545,9.965539231534176,Baseline_Actual
2024-03-01,1375.3545296524826,1392.7226906216097,1405.0086562001893,1390.4591727472557,13.199490668878727,Baseline_Actual
2024-04-01,1380.93050095873,1409.983589455263,1425.0097210108693,1406.0183901782427,16.63392731217685,Baseline_Actual
2024-05-01,1387.4226391384861,1415.8056581662736,1436.3716780216498,1414.279918747966,18.471060994885782,Baseline_Actual
2024-06-01,1367.427614823341,1398.4384761559693,1422.097137583747,1396.664670521071,21.428540623046583,Baseline_Actual
2024-07-01,1360.4093048278162,1394.7472377193144,1419.2352560157071,1392.7997207127594,22.75477767405969,Baseline_Actual
2024-08-01,1374.0711958792633,1407.2908292004859,1436.2195044856653,1406.7040380845606,25.308586341575367,Baseline_Actual
2024-09-01,1371.8310975127608,1406.2124717357724,1436.8230625810538,1405.5851380244505,27.053362450073987,Baseline_Actual
2024-10-01,1361.1694455686477,1392.2048823818907,1429.9374227666233,1392.914036982868,28.562598480002674,Baseline_Actual
2024-11-01,1361.803487234757,1398.2442444521803,1434.849944768876,1398.7808028355366,29.34207499067192,Baseline_Actual
2024-12-01,1336.7438344842333,1371.2331912272753,1410.4410852530652,1373.2142099743837,29.185791963126366,Baseline_Actual
2025-01-01,1332.0209324922278,1373.4382644082443,1413.355119893517,1373.7162531957697,30.798236655416638,Baseline_Actual
2025-02-01,1332.799886228908,1374.5080377915606,1414.544470999981,1375.538554202678,31.192465959217884,Baseline_Actual
2025-03-01,1332.029219801618,1371.8625863134057,1412.0203153362693,1373.2318789372816,30.522198327690113,Baseline_Actual
2025-04-01,1331.491383667695,1371.9772988912696,1413.3199090973135,1373.0692599166819,31.809567534123502,Baseline_Actual
2025-05-01,1333.869784413767,1377.9921477444964,1420.9129861297213,1379.0806091440277,32.08575221670048,Baseline_Actual
2025-06-01,1326.4531281976874,1371.1878449523117,1412.8045750334752,1371.0524712646647,31.783232567831377,Baseline_Actual
2025-07-01,1327.2457681268538,1371.5511154113178,1412.8538145701784,1371.148117422783,32.1110641212034,Baseline_Actual
2025-08-01,1321.3599307535874,1366.862183013975,1408.4581730274572,1365.2884465273994,31.484487511294958,Baseline_Actual
2025-09-01,1320.4062025747223,1364.3124033196798,1402.7492160360948,1364.0825572257536,30.993884227368866,Baseline_Actual
2025-10-01,1293.5293942785474,1337.983819903911,1379.3608427785416,1337.0264260318263,30.973255834506833,Baseline_Actual
2025-11-01,1289.9389592180014,1340.623981182729,1378.8900446361067,1338.572840626866,32.74168254943706,Baseline_Actual
2025-12-01,1266.5691056319492,1317.190099695329,1353.6423748759148,1314.4109168931873,32.201049528172305,Baseline_Actual
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,baseline
2024-02-01,1364.9852933425227,1374.3235775668302,1382.0007943154208,1373.4225297162534,9.888189455972325,baseline
2024-03-01,1374.3447176712962,1394.788876487808,1409.0554807511978,1393.4083125592485,13.700426450430799,baseline
2024-04-01,1381.5581573626066,1412.0112316812624,1428.9439925667557,1408.2920009368595,18.726465830764948,baseline
2024-05-01,1384.3859619376938,1418.4179515271123,1442.0673968068825,1416.3426759031456,23.75503440105115,baseline
2024-06-01,1364.6522155219473,1400.6088270643966,1430.2556887432709,1398.7637588447742,27.07343101480346,baseline
2024-07-01,1355.1540040652521,1394.9210157729192,1431.0851676649165,1394.562323525216,31.094626074034725,baseline
2024-08-01,1366.387030604282,1409.5911111243859,1449.5945002928756,1409.305693370997,33.25381800965321,baseline
2024-09-01,1361.1935193265383,1409.5119118256735,1449.8481415157328,1408.5899548849204,34.99842977089478,baseline
2024-10-01,1348.8412524487296,1399.2702282825458,1437.1518801205368,1396.5755211397677,36.230823414494715,baseline
2024-11-01,1350.4684032839123,1402.7843504353423,1446.6136575839384,1402.5199980610112,37.85016209361467,baseline
2024-12-01,1327.6826088122252,1376.0917698489584,1421.7446953301671,1377.209998180703,37.478134080788244,baseline
2025-01-01,1328.6225494560776,1377.9157968670806,1422.7940060908204,1378.1062039906308,37.78084809349338,baseline
2025-02-01,1327.2589467956639,1377.6864567002303,1424.9220021710707,1379.4481556420233,38.3818503265832,baseline
2025-03-01,1322.1128985008038,1376.1244708208933,1427.452162190286,1377.3468895767076,38.508288591485666,baseline
2025-04-01,1325.1627811026435,1379.6090821944067,1428.5982773963963,1377.9995141796562,38.98069808313564,baseline
2025-05-01,1331.9685208323042,1386.5700919795827,1432.3734201093814,1384.4972040659115,39.341483363002375,baseline
2025-06-01,1324.1160039990475,1376.8246820952577,1424.1246941459976,1375.972429074337,38.98577228075412,baseline
2025-07-01,1324.0740596558153,1378.3498901114572,1424.8761628997102,1376.1132105732877,39.521421718718734,baseline
2025-08-01,1318.5288665145858,1372.1095956547983,1415.709127732971,1369.9694515593606,39.268363745036744,baseline
2025-09-01,1315.228928323919,1370.1523711160958,1415.3431596331875,1368.5848821915224,39.402596016281656,baseline
2025-10-01,1288.8533827107733,1340.580994575663,1387.420846456046,1340.0993343951488,38.49089954887466,baseline
2025-11-01,1292.3819245490508,1342.529637410033,1393.9310980313758,1343.5835148174262,40.64493572289448,baseline
2025-12-01,1269.1739323148802,1320.5976990775557,1370.233995476682,1319.7607036088264,39.972726828011965,baseline
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,A1_rate_shock_hike_2022
2024-02-01,1357.5408180680188,1374.0564536476481,1386.4817302321078,1372.0520416805834,13.643265270328078,A1_rate_shock_hike_2022
2024-03-01,1355.0173874565958,1386.2231226802392,1410.1022540834483,1384.3934393578725,20.559961730048407,A1_rate_shock_hike_2022
2024-04-01,1351.3043137152279,1392.0697632238603,1423.9627303304344,1389.6195793319023,27.73127829302535,A1_rate_shock_hike_2022
2024-05-01,1375.2224694934048,1424.1032458373718,1468.148002743189,1422.482471562191,35.7121131994523,A1_rate_shock_hike_2022
2024-06-01,1394.4224774488316,1454.4312833658664,1504.788176452201,1449.0301150405542,41.28366146228552,A1_rate_shock_hike_2022
2024-07-01,1391.3520729678246,1457.044787335769,1507.9425086866675,1451.2476294559417,45.275089546371845,A1_rate_shock_hike_2022
2024-08-01,1407.7433990265324,1475.7207051318305,1529.9339167986861,1470.2897394353015,48.26650565364091,A1_rate_shock_hike_2022
2024-09-01,1382.8476555203276,1448.8568020540827,1517.0009874294842,1449.6661332128645,52.28112874901191,A1_rate_shock_hike_2022
2024-10-01,1361.5168575509172,1428.8703754493329,1499.0724469379484,1429.3340855246165,53.78597052288713,A1_rate_shock_hike_2022
2024-11-01,1338.6257397404515,1403.768444989159,1480.426941602769,1407.1144246263032,57.29759709886579,A1_rate_shock_hike_2022
2024-12-01,1303.630764185294,1367.702783503926,1447.2085401908523,1371.465794315991,56.67791334934991,A1_rate_shock_hike_2022
2025-01-01,1282.3790360443443,1353.1094155419387,1421.6077265290514,1350.8143544339418,56.60182168779802,A1_rate_shock_hike_2022
2025-02-01,1258.5147326451759,1326.6114825013296,1399.1470950594746,1327.419423385101,55.08285931939818,A1_rate_shock_hike_2022
2025-03-01,1240.7027398470054,1304.4564592650963,1378.8068297241937,1307.7113618927222,53.945404579683995,A1_rate_shock_hike_2022
2025-04-01,1213.3220433594756,1278.0701533348265,1351.9168965851084,1280.1571662295753,53.23080435894179,A1_rate_shock_hike_2022
2025-05-01,1187.4731603529801,1253.8526788790255,1329.4877607931787,1259.3205006528115,53.7876119370343,A1_rate_shock_hike_2022
2025-06-01,1158.8529325551556,1224.4418513071819,1298.2107720915308,1229.8715844097812,52.71875457006228,A1_rate_shock_hike_2022
2025-07-01,1154.45226322752,1217.8975889838953,1285.4960089763445,1223.1082168707915,52.140737928975796,A1_rate_shock_hike_2022
2025-08-01,1151.3750912197145,1216.3334013059039,1284.108625818971,1221.6839437582394,52.25521236325748,A1_rate_shock_hike_2022
2025-09-01,1128.0130107466507,1191.793192567068,1256.9559376527832,1196.8576909573035,50.97862911045694,A1_rate_shock_hike_2022
2025-10-01,1116.847774708708,1177.434625296975,1242.256251487975,1183.9135917255862,50.20465014026511,A1_rate_shock_hike_2022
2025-11-01,1108.43882359555,1176.1982501501443,1236.0537379275904,1177.341674722368,50.50948502985543,A1_rate_shock_hike_2022
2025-12-01,1082.0364971476865,1146.1724570526076,1206.9838509781925,1148.3187038027136,49.47849644829841,A1_rate_shock_hike_2022
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,A2_rate_gradual_hike
2024-02-01,1354.4486759538936,1382.0856993867164,1392.369261861693,1376.7175030590747,17.260743697845264,A2_rate_gradual_hike
2024-03-01,1358.7695941215545,1400.458989632855,1417.299403156669,1394.7380444459538,22.245035215764062,A2_rate_gradual_hike
2024-04-01,1359.7188383437708,1417.9393504497355,1443.5575055761103,1412.3097036911029,31.50130701450062,A2_rate_gradual_hike
2024-05-01,1369.4859930220598,1450.2765147081827,1481.068637149085,1441.2554772061055,40.53761709803431,A2_rate_gradual_hike
2024-06-01,1380.481571181533,1460.8250073154888,1499.0086525065417,1452.3052561955158,43.537528886832554,A2_rate_gradual_hike
2024-07-01,1383.1494557870903,1469.1708396343922,1508.5668931503967,1459.3151686652752,48.281700825093864,A2_rate_gradual_hike
2024-08-01,1398.4236347214887,1490.4213724958486,1531.982026593283,1479.470192341726,51.965639399734734,A2_rate_gradual_hike
2024-09-01,1377.0370177084462,1471.8802459935062,1521.2816745410466,1463.7883942102633,55.41192971496391,A2_rate_gradual_hike
2024-10-01,1359.7253401216667,1457.4703454826285,1503.1051050174208,1447.8551113426386,56.43311171978901,A2_rate_gradual_hike
2024-11-01,1329.562562518694,1444.2192820884852,1492.8378667629459,1432.1172948478386,57.13000604603634,A2_rate_gradual_hike
2024-12-01,1295.1121859566254,1410.2776896068017,1460.4864816651764,1398.920047213505,56.203363643979785,A2_rate_gradual_hike
2025-01-01,1300.2510066935267,1411.5241937393073,1461.5557372857832,1401.6479274122257,56.439149200012906,A2_rate_gradual_hike
2025-02-01,1287.8163337306612,1400.6891084484569,1453.5932002256307,1390.6538967561066,56.30034132714819,A2_rate_gradual_hike
2025-03-01,1292.3570955433547,1405.6585001917472,1459.1031884510865,1394.2177899101575,56.76902812190615,A2_rate_gradual_hike
2025-04-01,1283.8659140701523,1391.8225413997793,1439.3939869611586,1379.1300790547073,57.14478464648069,A2_rate_gradual_hike
2025-05-01,1261.158814160002,1363.7309627719915,1410.0425196343122,1349.2982659433883,57.31799462089185,A2_rate_gradual_hike
2025-06-01,1240.3690248422454,1344.0801959104217,1385.959070574601,1327.0943896463964,56.25231592195187,A2_rate_gradual_hike
2025-07-01,1218.0512666031086,1320.2577550974074,1363.7829694955446,1304.6350578396282,56.42670891170929,A2_rate_gradual_hike
2025-08-01,1231.1642446062478,1333.428752328518,1377.7637837654,1317.6926872708473,56.62635829600303,A2_rate_gradual_hike
2025-09-01,1206.9881197543011,1307.088968563341,1352.6118487305966,1293.9344083491194,56.25378682499764,A2_rate_gradual_hike
2025-10-01,1195.8306699080008,1288.7187255896451,1336.6463605833976,1276.1338200997625,54.978298416051274,A2_rate_gradual_hike
2025-11-01,1172.991940643509,1268.8878187607097,1311.792721925378,1257.1076611587616,54.1840918771227,A2_rate_gradual_hike
2025-12-01,1140.299318191041,1234.7595706092725,1277.8507364338705,1223.3112026685637,52.7279669581321,A2_rate_gradual_hike
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,A3_rate_gradual_cut
2024-02-01,1365.7424085710559,1377.033022363106,1382.3843213056175,1374.764570417941,9.090015263641677,A3_rate_gradual_cut
2024-03-01,1376.8565238041401,1395.0171660408928,1404.617705160472,1392.5914377611414,11.742610461674753,A3_rate_gradual_cut
2024-04-01,1376.897397263714,1398.4371909187157,1410.2889439445828,1396.2650794224612,14.137735969100884,A3_rate_gradual_cut
2024-05-01,1382.1805954946938,1411.6941106659394,1430.2489819041757,1409.2224392603596,17.22033871840333,A3_rate_gradual_cut
2024-06-01,1366.5704359793554,1396.5691365032073,1417.2069666300667,1394.3348481531837,19.31921459493645,A3_rate_gradual_cut
2024-07-01,1361.570163881103,1389.4342790863498,1413.4360169541537,1388.4670638915995,20.66719143462288,A3_rate_gradual_cut
2024-08-01,1378.280376014914,1406.296278913906,1434.7188195585836,1405.8231333033975,22.65626966509729,A3_rate_gradual_cut
2024-09-01,1368.7352074058394,1401.3331224478704,1429.6028184136762,1400.0253960855555,23.795804587253606,A3_rate_gradual_cut
2024-10-01,1343.5238947540422,1373.1915573558263,1403.9413111576712,1375.8355254520159,24.40871318230982,A3_rate_gradual_cut
2024-11-01,1320.6755708762093,1357.5825690792383,1385.2355234701827,1355.80266315042,26.37573228955628,A3_rate_gradual_cut
2024-12-01,1295.3896077425889,1332.531930255358,1360.7789894429375,1331.138485991766,26.17961708575798,A3_rate_gradual_cut
2025-01-01,1287.3626239549887,1327.0463555628555,1358.6578204101663,1323.713956586115,27.964301219642632,A3_rate_gradual_cut
2025-02-01,1279.993231381613,1318.7291362174387,1357.1562538868734,1317.5913435937252,29.334644410165627,A3_rate_gradual_cut
2025-03-01,1280.6830217402387,1319.7159186581239,1357.7370076523957,1318.7674430509003,29.229315428126828,A3_rate_gradual_cut
2025-04-01,1284.504624994564,1323.819771588861,1362.7685673502665,1322.6296740800724,29.57250543842942,A3_rate_gradual_cut
2025-05-01,1288.0624637324383,1322.5809825584352,1362.5839891019202,1322.8329540461345,29.970454696818376,A3_rate_gradual_cut
2025-06-01,1276.442310933383,1313.4582617050428,1350.8588711332307,1312.7430211043195,29.681424516969884,A3_rate_gradual_cut
2025-07-01,1273.6998621305377,1312.171636296948,1353.250638841479,1311.4868685849779,30.67802378491388,A3_rate_gradual_cut
2025-08-01,1273.6916409782018,1311.5612143733683,1352.9814243576068,1310.8578843891723,30.863892000411905,A3_rate_gradual_cut
2025-09-01,1267.2207280322668,1303.6720957333664,1344.8595528391256,1304.2175672575713,30.199254010999596,A3_rate_gradual_cut
2025-10-01,1241.7324007065918,1277.0381954442273,1313.3726719883605,1276.4968876935698,28.17790303725246,A3_rate_gradual_cut
2025-11-01,1242.173650272991,1279.313771386619,1317.460361685019,1278.3965847998988,29.115930731439473,A3_rate_gradual_cut
2025-12-01,1218.8087002065986,1255.358348811525,1291.9375440589024,1254.6159405841188,28.628394111842578,A3_rate_gradual_cut
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,A4_rate_zero_lower_covid
2024-02-01,1362.8806548608918,1372.9592237204668,1382.561483573086,1372.7361259524414,8.113993652453967,A4_rate_zero_lower_covid
2024-03-01,1361.6499727383448,1376.3709073886316,1393.2426096663332,1376.8817896275775,12.284819609534361,A4_rate_zero_lower_covid
2024-04-01,1358.6918144445713,1378.3371783505495,1398.8723361496675,1378.3421996505026,15.845027696222989,A4_rate_zero_lower_covid
2024-05-01,1364.8027564816673,1385.375083452317,1408.502011320966,1386.3542549828333,17.93877207954487,A4_rate_zero_lower_covid
2024-06-01,1355.443655498269,1384.7520157939653,1414.7767111610701,1384.9930073419143,23.310435704599428,A4_rate_zero_lower_covid
2024-07-01,1340.5124806337076,1372.5883874607593,1408.407176288295,1374.949964499107,26.600095621332184,A4_rate_zero_lower_covid
2024-08-01,1327.430333625541,1363.7258606390515,1399.6619941466884,1365.7822463490227,28.5100372331775,A4_rate_zero_lower_covid
2024-09-01,1310.1910204822154,1349.7380558885252,1386.43142978382,1350.8934438215283,29.911284519797974,A4_rate_zero_lower_covid
2024-10-01,1283.0673006928535,1322.9516157374526,1360.8597540590779,1325.1464397106693,30.71463907563736,A4_rate_zero_lower_covid
2024-11-01,1271.577618892339,1310.1971484543271,1351.9501170138292,1310.8602478109904,31.433180359392907,A4_rate_zero_lower_covid
2024-12-01,1257.7806845396847,1296.5059825616327,1342.7145973088925,1298.2891016131457,32.54587549568309,A4_rate_zero_lower_covid
2025-01-01,1220.9468998111313,1254.2716285930182,1302.4096158667924,1259.5857517088302,31.923064673852156,A4_rate_zero_lower_covid
2025-02-01,1198.5228025587667,1232.362565171628,1279.7660021038412,1237.3006489916427,31.318004075292958,A4_rate_zero_lower_covid
2025-03-01,1171.9053122087198,1205.2903194274988,1251.4324424183142,1210.1175748146932,30.632861060411066,A4_rate_zero_lower_covid
2025-04-01,1148.1442372280824,1181.8981583116788,1227.0514038413623,1185.927774838114,30.075813593300037,A4_rate_zero_lower_covid
2025-05-01,1130.5996996318504,1163.928956823377,1206.154439615396,1168.3273341349443,29.271967333759196,A4_rate_zero_lower_covid
2025-06-01,1109.2123238491517,1141.3306060825062,1183.857091093282,1146.2634435146201,28.67814139116174,A4_rate_zero_lower_covid
2025-07-01,1092.9398321563558,1125.2625819061066,1170.7347783944392,1129.616690126833,28.582226985428683,A4_rate_zero_lower_covid
2025-08-01,1082.4451500267767,1110.4305702386573,1154.086393381743,1113.6589569053033,27.886810968731385,A4_rate_zero_lower_covid
2025-09-01,1064.0934951363229,1091.5352727575114,1134.5535682151192,1095.7321718804835,27.342588818724206,A4_rate_zero_lower_covid
2025-10-01,1040.938815921167,1073.9299324490564,1117.689239949911,1076.4531876158833,27.21618298889932,A4_rate_zero_lower_covid
2025-11-01,1050.310057500211,1084.7341859934802,1128.0919614686152,1087.7114438856593,28.46432719794255,A4_rate_zero_lower_covid
2025-12-01,1032.8707963388433,1066.8413564990537,1109.1937087985073,1070.0089938564797,28.019036196380867,A4_rate_zero_lower_covid
2024-01-01,1348.4265213555555,1348.4265213555555,1348.4265213555555,1348.4265213555516,3.865352482534945e-12,B1_policy_full_tight_moonjaein
2024-02-01,1467.0062455765817,1471.3057685439967,1474.6745259500287,1471.0378050558006,3.2066351972229787,B1_policy_full_tight_moonjaein
2024-03-01,1474.8350022875902,1488.5945015936818,1504.561613957685,1489.57989327397,11.955957697139807,B1_policy_full_tight_moonjaein
2024-04-01,1494.1607424974097,1509.7118158333014,1529.7850756163743,1511.401131438791,13.767845023287393,B1_policy_full_tight_moonjaein
2024-05-01,1539.7051045599646,1555.2692750668461,1575.6322497687422,1556.8162495903027,14.520688594827542,B1_policy_full_tight_moonjaein
2024-06-01,1557.454706584758,1577.610428768864,1603.768062334458,1580.8256737473007,19.30398953781599,B1_policy_full_tight_moonjaein
2024-07-01,1555.6549677410842,1587.4147648496241,1617.4006837385498,1585.5821585909607,23.771490055038594,B1_policy_full_tight_moonjaein
2024-08-01,1609.8982900914882,1642.0438520488333,1672.634867647306,1640.8114389686787,23.862097493970523,B1_policy_full_tight_moonjaein
2024-09-01,1585.9939414888822,1617.329279996449,1647.9671232921155,1616.682740048661,23.20586751068558,B1_policy_full_tight_moonjaein
2024-10-01,1574.0162632010336,1601.773662007451,1631.4969225582347,1601.3917544164278,23.77492840442302,B1_policy_full_tight_moonjaein
2024-11-01,1659.0341485151912,1686.8274285114794,1725.7442760720344,1690.091779155195,26.175307872731935,B1_policy_full_tight_moonjaein
2024-12-01,1620.0406810061754,1648.519564278814,1683.8868072463058,1649.6822641607268,25.77800729937165,B1_policy_full_tight_moonjaein
2025-01-01,1595.1789578611265,1625.8699436570555,1660.3943067231376,1626.6446307397675,26.84874940041591,B1_policy_full_tight_moonjaein
2025-02-01,1634.5050686595769,1666.5332366328043,1707.5031225526743,1667.9650565658073,28.727825366518427,B1_policy_full_tight_moonjaein
2025-03-01,1613.1697713698666,1647.2431960274002,1685.52087844004,1647.9725394799193,26.41195751065125,B1_policy_full_tight_moonjaein
2025-04-01,1572.4703083323118,1608.2291091599282,1649.9664527429643,1610.0214241826375,27.569533895808938,B1_policy_full_tight_moonjaein
2025-05-01,1603.6292702985772,1643.0236945019815,1689.8369196493838,1646.0677379325696,33.23536386771412,B1_policy_full_tight_moonjaein
2025-06-01,1590.2412975598065,1634.543973457088,1684.8925200076478,1635.6476996791273,32.87297329262329,B1_policy_full_tight_moonjaein
2025-07-01,1587.8547286907922,1625.1577301333937,1677.7403965731062,1628.0758335619832,34.80737669921243,B1_policy_full_tight_moonjaein
2025-08-01,1617.0872195046413,1659.436590459638,1718.726311236565,1664.4426139550387,36.23298626188092,B1_policy_full_tight_moonjaein
2025-09-01,1636.411381783787,1676.8550294468573,1735.116132573588,1681.061073117139,36.66758483209325,B1_policy_full_tight_moonjaein
2025-10-01,1663.8458816625946,1706.6599044223012,1765.4313233889188,1711.9729584261024,39.26602398275005,B1_policy_full_tight_moonjaein
2025-11-01,1748.7898507497198,1796.8292537041743,1858.1261885634435,1801.3415886473852,41.6382020253335,B1_policy_full_tight_moonjaein
2025-12-01,1704.9798326870618,1751.7440237460282,1817.3152865917098,1756.4877904764583,40.451484920088866,B1_policy_full_tight_moonjaein
2024-01-01,1348.4265202166735,1348.4265213555555,1348.4265224944374,1348.4265213640954,9.694763514223013e-07,B2_policy_full_loose_current
2024-02-01,1309.7405344464964,1347.00597224074,1373.5080583349666,1344.5138836987794,25.195127999652588,B2_policy_full_loose_current
2024-03-01,1279.7213148882322,1324.5498628498826,1360.721399302327,1322.6116824193648,31.000542003683833,B2_policy_full_loose_current
2024-04-01,1260.6466383591899,1312.449756890354,1354.022418347125,1310.000971625944,36.943119219956,B2_policy_full_loose_current
2024-05-01,1262.2986460652726,1311.737203783869,1363.0007388075437,1312.9565693111363,43.673596485154434,B2_policy_full_loose_current
