,ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
ecos__base_rate,0.00785440531515672,0.003369576085890142,0.0035791632240130353,0.0011619217291686315,-0.0010697831556515636,-0.03431492610986801,-0.019542456000393404,-0.011435918408661594,-0.35249606021703245,-0.01854486130937488,-0.031641820026117914,-0.0005226370146700295,0.0024618069378998454,4.6205460752208145e-05,0.0005146166397347585,-0.0029506353962587086,0.0002371768885284445,-0.001084473668513427,0.002001497549811599,0.0008860500426182195,0.0008860500426182207
ecos__cd_91d_rate,0.003369576085890142,0.005590231764996155,0.0026513535566296768,0.0015014097785299007,5.104895911185367e-05,0.13740593779822505,-0.02429367251965334,0.0014061104387230413,-0.15624992884132263,-0.021870550922326648,-0.0142362683952974,-0.0003216700532538526,0.0007775675025132923,-0.002357170784314231,4.77340566476276e-05,-0.0012098509516365855,0.00020938151494250305,0.002458410969200223,0.0008698140965977913,-0.0005130107453972723,-0.0005130107453972718
ecos__cpi_housing,0.0035791632240130353,0.0026513535566296768,0.2688451317487753,0.008511039491746574,0.018707093109968303,0.026089600777973013,-0.06300760804512782,0.11173377240308635,-0.3267491281560606,0.035578095321781064,-0.02964093004096941,0.00045857578716636607,-0.0031326748909491606,-0.004742309668011075,0.006398051687502924,-0.010540008654584022,0.002657537979026638,0.009383997975042557,-0.02096577630723081,-0.002406810478920437,-0.0024068104789204355
ecos__mortgage_rate_new,0.0011619217291686315,0.0015014097785299007,0.008511039491746574,0.006258661591799344,-0.0005006333535342619,0.008082697406065502,-0.014587288082601842,-0.00163364836034519,0.25243820220299523,0.003498051713463096,-0.041685913474457235,5.067871187971674e-05,-0.001469292462257518,-0.003526323706037497,0.0008938679777408043,-0.0013844027983470621,0.0004164968935369363,-0.0010241785361819534,-0.0003374606342639257,0.00011049766490082144,0.00011049766490082192
ecos__unemployment_rate,-0.0010697831556515636,5.104895911185367e-05,0.018707093109968303,-0.0005006333535342619,0.06437627547798548,-0.2646574956522364,-0.062498861905174834,-0.048006797966563534,-1.2569868817533583,-0.004057638084500847,-0.08078854770131295,0.0009168406139959937,0.008020575825791378,-0.0023254037507264625,-0.010861025448445187,-0.0073316855426148915,-0.001365158681946296,-0.008864310984248037,-0.004087410356976966,-0.003799120403443586,-0.003799120403443581
reb__apt_jeonse_avg_price,-0.03431492610986801,0.13740593779822505,0.026089600777973013,0.008082697406065502,-0.2646574956522364,74.62838846329517,4.378143732955703,2.3237301486191333,92.08591959205418,0.05359810075984315,1.5443854263475567,-0.03125219107845151,-0.16615022134540708,-0.18320102532593974,0.19721543374698258,-0.18375790818571072,-0.0380339246378812,0.14210730129526372,0.3149005120840963,-0.17140888374796065,-0.17140888374796065
reb__apt_jeonse_supply_demand,-0.019542456000393404,-0.02429367251965334,-0.06300760804512782,-0.014587288082601842,-0.062498861905174834,4.378143732955703,6.660141803119999,2.1389499344999012,16.426789071222807,1.126268410840874,5.567364929421571,0.00969880975299238,-0.057890663268633305,-0.09228169816879499,0.05056026107374236,-0.09376396222810224,0.0028592507436564735,0.00010596891543395582,0.021718482711413974,-0.09669004736295517,-0.09669004736295515
reb__apt_monthly_rent_supply_demand,-0.011435918408661594,0.0014061104387230413,0.11173377240308635,-0.00163364836034519,-0.048006797966563534,2.3237301486191333,2.1389499344999012,2.601308603459683,3.04802143146016,0.3683259218811574,2.3227244783839187,0.0009531214868470168,-0.021303704477081607,-0.04164137711993007,0.020256628768903526,-0.059203495687692405,-0.0005813891799933433,0.043541208573926,0.02755057974835054,-0.034528969764366625,-0.03452896976436659
reb__apt_sale_avg_price,-0.35249606021703245,-0.15624992884132263,-0.3267491281560606,0.25243820220299523,-1.2569868817533583,92.08591959205418,16.426789071222807,3.04802143146016,1994.7030005427655,17.104898963020606,21.109392085927166,-0.10337226548726082,-0.592131574074093,-0.2106592638086918,-0.07842775445720077,0.7260880227233092,-0.11925041282947255,-0.1304008930629088,0.04646343517327437,0.10398541453059494,0.10398541453059515
reb__apt_sale_index,-0.01854486130937488,-0.021870550922326648,0.035578095321781064,0.003498051713463096,-0.004057638084500847,0.05359810075984315,1.126268410840874,0.3683259218811574,17.104898963020606,1.2801390239400232,1.870650693352052,0.00457883104115795,-0.019137444613576804,0.032759774407066886,-0.010750655637949417,0.026069722397683046,0.0013401136916826747,-0.0420999935437852,0.001229095560266611,0.0036689175210491603,0.0036689175210491477
reb__apt_sale_supply_demand,-0.031641820026117914,-0.0142362683952974,-0.02964093004096941,-0.041685913474457235,-0.08078854770131295,1.5443854263475567,5.567364929421571,2.3227244783839187,21.109392085927166,1.870650693352052,11.615948232591442,0.0137213595967477,-0.054177240015840934,-0.045525373911466986,-0.01525026991109795,-0.02909097020827509,0.004331148903381192,0.03916459764350604,0.08818081046175434,-0.11065851695541964,-0.11065851695541953
policy__dsr_regime,-0.0005226370146700295,-0.0003216700532538526,0.00045857578716636607,5.067871187971674e-05,0.0009168406139959937,-0.03125219107845151,0.00969880975299238,0.0009531214868470168,-0.10337226548726082,0.00457883104115795,0.0137213595967477,0.004185036899684595,-0.00023771094869280256,-0.0008950055748315236,-5.199651339227954e-05,7.672006501791125e-05,-3.88570189152164e-06,-0.0003724408760555036,0.0003195237633243002,-0.00021909253476595954,-0.00021909253476595973
policy__dti_regime,0.0024618069378998454,0.0007775675025132923,-0.0031326748909491606,-0.001469292462257518,0.008020575825791378,-0.16615022134540708,-0.057890663268633305,-0.021303704477081607,-0.592131574074093,-0.019137444613576804,-0.054177240015840934,-0.00023771094869280256,0.07702564072956597,0.07613745598198231,-0.001658011245619332,0.016868600968809783,-0.0009200233712417678,-0.00019137284142791653,0.009234166819242282,0.018737498557794288,0.018737498557794285
policy__ltv_regime,4.6205460752208145e-05,-0.002357170784314231,-0.004742309668011075,-0.003526323706037497,-0.0023254037507264625,-0.18320102532593974,-0.09228169816879499,-0.04164137711993007,-0.2106592638086918,0.032759774407066886,-0.045525373911466986,-0.0008950055748315236,0.07613745598198231,0.15282917148684202,-0.0009537502379777876,0.07461578530126368,-0.0010445773307143382,0.002670378437906144,0.006627689792344973,0.048179939649979436,0.04817993964997944
policy__real_estate_policy_regime,0.0005146166397347585,4.77340566476276e-05,0.006398051687502924,0.0008938679777408043,-0.010861025448445187,0.19721543374698258,0.05056026107374236,0.020256628768903526,-0.07842775445720077,-0.010750655637949417,-0.01525026991109795,-5.199651339227954e-05,-0.001658011245619332,-0.0009537502379777876,0.03629394818437657,0.0011968766236960336,0.009421078338921252,-1.3111805680019203e-05,-4.205667954868665e-06,0.000661617117761836,0.000661617117761833
policy__capital_gains_tax_regime,-0.0029506353962587086,-0.0012098509516365855,-0.010540008654584022,-0.0013844027983470621,-0.0073316855426148915,-0.18375790818571072,-0.09376396222810224,-0.059203495687692405,0.7260880227233092,0.026069722397683046,-0.02909097020827509,7.672006501791125e-05,0.016868600968809783,0.07461578530126368,0.0011968766236960336,0.086660724561251,0.0004393164581175803,0.0034930061238427484,-0.002804386021773562,0.04380022828997903,0.04380022828997901
