lag,dependent,regressor,coef
1,ecos__mortgage_rate_new,policy__dti_regime,-0.021361237793801974
1,ecos__mortgage_rate_new,policy__ltv_regime,0.02062487626913817
1,ecos__mortgage_rate_new,policy__real_estate_policy_regime,-0.026762898814455056
1,ecos__mortgage_rate_new,policy__capital_gains_tax_regime,-0.002208673765941423
1,ecos__mortgage_rate_new,policy__adjustment_target_area_regime,0.06339217546017072
1,ecos__mortgage_rate_new,policy__comprehensive_real_estate_tax_regime,0.005272356714395823
1,ecos__mortgage_rate_new,policy__acquisition_tax_regime,-0.012738270845518344
1,ecos__mortgage_rate_new,policy__speculative_overheated_district_regime,-0.00023695926893314351
1,ecos__mortgage_rate_new,policy__speculative_zone_regime,-0.00023695926893356402
1,ecos__unemployment_rate,ecos__base_rate,0.025346896198702226
1,ecos__unemployment_rate,ecos__cd_91d_rate,-0.033441487461240205
1,ecos__unemployment_rate,ecos__cpi_housing,0.009823590397656139
1,ecos__unemployment_rate,ecos__mortgage_rate_new,0.3367402128549631
1,ecos__unemployment_rate,ecos__unemployment_rate,-0.08460259114331538
1,ecos__unemployment_rate,reb__apt_jeonse_avg_price,0.0032338559951657813
1,ecos__unemployment_rate,reb__apt_jeonse_supply_demand,-0.001886542034666418
1,ecos__unemployment_rate,reb__apt_monthly_rent_supply_demand,0.0020144947578486284
1,ecos__unemployment_rate,reb__apt_sale_avg_price,0.00103010800930579
1,ecos__unemployment_rate,reb__apt_sale_index,-0.04480819744153227
1,ecos__unemployment_rate,reb__apt_sale_supply_demand,0.002869443249927243
1,ecos__unemployment_rate,policy__dsr_regime,0.29896547141319785
1,ecos__unemployment_rate,policy__dti_regime,-0.11062800493812691
1,ecos__unemployment_rate,policy__ltv_regime,0.07340851737092917
1,ecos__unemployment_rate,policy__real_estate_policy_regime,0.08274994569588275
1,ecos__unemployment_rate,policy__capital_gains_tax_regime,0.0075954110929319744
1,ecos__unemployment_rate,policy__adjustment_target_area_regime,-0.18379576894849878
1,ecos__unemployment_rate,policy__comprehensive_real_estate_tax_regime,-0.09926790319006479
1,ecos__unemployment_rate,policy__acquisition_tax_regime,0.036849713912599925
1,ecos__unemployment_rate,policy__speculative_overheated_district_regime,-0.00754993775912107
1,ecos__unemployment_rate,policy__speculative_zone_regime,-0.00754993775912147
1,reb__apt_jeonse_avg_price,ecos__base_rate,-2.2471313578790233
1,reb__apt_jeonse_avg_price,ecos__cd_91d_rate,-5.975753924121589
1,reb__apt_jeonse_avg_price,ecos__cpi_housing,0.9193777142339423
1,reb__apt_jeonse_avg_price,ecos__mortgage_rate_new,9.226486888551422
1,reb__apt_jeonse_avg_price,ecos__unemployment_rate,-11.543511533905708
1,reb__apt_jeonse_avg_price,reb__apt_jeonse_avg_price,0.33657745961346586
1,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,0.2890866349652209
1,reb__apt_jeonse_avg_price,reb__apt_monthly_rent_supply_demand,0.10829694885278905
1,reb__apt_jeonse_avg_price,reb__apt_sale_avg_price,0.02952837180278909
1,reb__apt_jeonse_avg_price,reb__apt_sale_index,0.8157542035083991
1,reb__apt_jeonse_avg_price,reb__apt_sale_supply_demand,-0.5025287286434031
1,reb__apt_jeonse_avg_price,policy__dsr_regime,1.1725195584271835
1,reb__apt_jeonse_avg_price,policy__dti_regime,2.5987206224136212
1,reb__apt_jeonse_avg_price,policy__ltv_regime,-1.972774184742852
1,reb__apt_jeonse_avg_price,policy__real_estate_policy_regime,-0.1223291310306935
1,reb__apt_jeonse_avg_price,policy__capital_gains_tax_regime,-0.5411847564011786
1,reb__apt_jeonse_avg_price,policy__adjustment_target_area_regime,-0.14870586164830696
1,reb__apt_jeonse_avg_price,policy__comprehensive_real_estate_tax_regime,-0.5049985445508507
1,reb__apt_jeonse_avg_price,policy__acquisition_tax_regime,-2.4941254185396153
1,reb__apt_jeonse_avg_price,policy__speculative_overheated_district_regime,-0.16182115074324377
1,reb__apt_jeonse_avg_price,policy__speculative_zone_regime,-0.1618211507432534
1,reb__apt_jeonse_supply_demand,ecos__base_rate,-1.1446650004706675
1,reb__apt_jeonse_supply_demand,ecos__cd_91d_rate,-7.228177754395168
1,reb__apt_jeonse_supply_demand,ecos__cpi_housing,-0.2724534916956405
1,reb__apt_jeonse_supply_demand,ecos__mortgage_rate_new,-2.001191419481541
1,reb__apt_jeonse_supply_demand,ecos__unemployment_rate,0.8294615691968334
1,reb__apt_jeonse_supply_demand,reb__apt_jeonse_avg_price,0.05354601525896299
1,reb__apt_jeonse_supply_demand,reb__apt_jeonse_supply_demand,0.24337401654750077
1,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,-0.10817965666299881
1,reb__apt_jeonse_supply_demand,reb__apt_sale_avg_price,0.0038023012593908392
1,reb__apt_jeonse_supply_demand,reb__apt_sale_index,0.1767033992775213
1,reb__apt_jeonse_supply_demand,reb__apt_sale_supply_demand,0.04589732693595626
1,reb__apt_jeonse_supply_demand,policy__dsr_regime,-0.7221463202487796
1,reb__apt_jeonse_supply_demand,policy__dti_regime,0.20054215881374213
1,reb__apt_jeonse_supply_demand,policy__ltv_regime,-0.46621612055317674
1,reb__apt_jeonse_supply_demand,policy__real_estate_policy_regime,0.33141844973052836
1,reb__apt_jeonse_supply_demand,policy__capital_gains_tax_regime,0.30087765079360207
1,reb__apt_jeonse_supply_demand,policy__adjustment_target_area_regime,-0.6999251444202017
1,reb__apt_jeonse_supply_demand,policy__comprehensive_real_estate_tax_regime,0.20552377628269858
1,reb__apt_jeonse_supply_demand,policy__acquisition_tax_regime,1.296211685127445
1,reb__apt_jeonse_supply_demand,policy__speculative_overheated_district_regime,0.11669471483352688
