ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
-0.04384292029557875,-0.006801684423064802,-0.0856289555292748,-0.04386415065662762,-0.3156878115772348,-4.198903352866871,-0.3659695989384555,0.06806957373147782,-64.41219170053097,0.4783607828703853,1.0737402727983518,-0.012891060774459357,-0.019951191448180694,0.02532001331868783,-0.037170366472534244,-0.04609126724649881,-0.003441542749072618,0.03187984943041133,0.021461157293058197,0.11212995538436576,0.11212995538436521
-0.04384292029557875,-0.05680168442306462,-0.1686289555292732,-0.193864150656628,-0.4156878115772358,-4.198903352866871,-0.3659695989384555,0.06806957373147782,-34.80725520053095,-0.34832416712961534,1.0737402727983518,-0.012891060774459357,-0.019951191448180694,0.02532001331868783,-0.037170366472534244,-0.04609126724649881,-0.003441542749072618,0.03187984943041133,0.021461157293058197,0.11212995538436576,0.11212995538436521
-0.034603900446227596,-0.23451480720773038,-0.1285563683525973,-0.128574472973497,-0.06549689520272281,-3.2839856191474874,-1.0065868084027407,0.019940004312971382,-42.499396581989544,-1.6835370895829713,-0.0382765186720275,-0.006383984019232921,0.0008221615045320707,0.11506941646872637,-0.010626711028436153,0.07706845256771144,0.004807707272013571,0.07146591760526988,0.07509386185344791,0.15112569751548133,0.15112569751548122
0.023729628497315733,0.0852542035655274,0.033242152161922306,-0.09073359272810066,-0.2555453520899075,4.726100385113892,-2.930647060430643,-0.6785301680247073,-34.39893648051487,-1.6683562026608132,-2.1772808631089844,0.03730932055758488,0.0239751833132813,0.22210892986779796,0.04507699248009911,0.30005340164718053,0.011182963620264849,0.16531957910153716,0.01491901154047052,0.3223717288452118,0.3223717288452117
-0.03911876223359472,0.06117764360215858,-0.07132225408693843,0.008863594688567344,0.3166815284882454,-1.086719763245017,-1.2582080329761764,-0.10219055115462083,-19.086889169975244,-0.6602346969077978,-1.2379018144180947,-0.0013782219069295631,0.02668476783046403,0.21298366435106886,0.02176487136090688,0.197485376512196,0.008431306963044697,0.07949919575523867,0.08496416107646979,0.2022508005269661,0.2022508005269672
0.17737490198465006,0.15092940432606738,-0.08874435493744307,0.17019531757252554,0.3577321223043954,7.139913837065883,-1.0330850651141041,-0.2740128796268664,-8.498536772161746,-1.2615678454212378,-1.5907502164467404,-0.011297739160841622,0.05486785798006433,0.22043715698733923,0.06665398731215566,0.14017602493103598,0.019851552768625488,0.028612096290502986,0.09458875497434512,0.20258934777575366,0.20258934777575432
-0.04401019095740062,-0.07080806930242053,-0.20244240700004906,0.07401020975231425,-0.3772347126439388,6.370709804832845,1.18048593292017,0.13598420994482296,20.017572474690272,0.6360574363945083,-0.21830528477781558,-0.0025691186529944784,0.05340472837201937,0.09729656904611839,0.043928373185203595,0.09494962347894864,0.003968372667239058,-0.052059590571643666,-0.037035912121639016,0.17904806383216054,0.1790480638321612
-0.052337639233245505,-0.041636988005646275,0.24166466847335993,-0.028491133858676326,0.07129155326415512,-6.8445605166278405,0.3728963941427844,0.08024937591159187,-3.7260230821998803,1.3830425458566986,0.5614636577654923,-0.006979953450489676,-0.006595734776433826,0.06407161949761264,-0.025487015633543275,-0.014983861615886385,-0.009180963305824527,0.010137654808335395,-0.09049868446389249,0.1336526427046505,0.13365264270465116
-0.06768130287288962,-0.03626115558828913,-0.20251399532417041,-0.052629284757967805,0.045071028933927004,2.449461192124165,-0.3625138313329156,-0.2438573141654956,33.25129630111515,0.3049580242809993,0.3139951715652784,-0.01455092175781746,-0.0013884368301007033,0.08851271326108778,-0.01016973078103578,0.025720558966938034,-0.008137114384084038,-0.011990042419778746,0.011784895717302771,0.1697205648285497,0.1697205648285499
0.18920997811069398,0.061605584748381285,-0.4823484031867009,-0.03917460976520356,-0.2991803748223235,0.004541066698183438,-0.780250967620368,-0.2426882199528535,45.61565209567741,0.8017461854435372,-0.8109299689912208,-0.006018163060354706,0.021653538196672928,0.11574760344768642,0.02438920661883892,0.03279994351498661,0.007500357293837556,0.02281646745850785,0.0065067804504676825,0.1501212614228402,0.1501212614228411
-0.03257957215515201,0.001573063234298136,0.021475415292344924,0.07107448587506948,0.5069213238688965,-3.6670057143834893,-0.03316488731842465,-0.061044492017870766,14.214160784122441,0.4942226207558439,-0.6042391418679006,0.004910424764369379,0.02382272753045922,-0.06713438100757796,0.022463611070429268,-0.1052367271858855,0.009539764297457736,-0.02977937084368354,-0.03788671154669377,0.02902856413844601,0.029028564138447566
0.1571795451212342,0.08084755108833253,0.5441896387640686,0.11457828881796706,0.21193905897732107,6.005273746961199,-0.4173953559069219,-0.3482095561694365,-8.547445277775907,0.9700803536670772,-0.40314665562090973,-0.02097317351630692,0.024609413494630417,0.0998726039599368,0.02959110444778945,-0.0178516597186541,0.005013411499302475,-0.038011316011759444,0.034231697301772626,0.14489992837568022,0.14489992837568066
