lag,dependent,regressor,coef
1,ecos__mortgage_rate_new,policy__dti_regime,-0.01752585212422738
1,ecos__mortgage_rate_new,policy__ltv_regime,0.016859889130958105
1,ecos__mortgage_rate_new,policy__real_estate_policy_regime,-0.02521903739268523
1,ecos__mortgage_rate_new,policy__capital_gains_tax_regime,-0.001653745642301565
1,ecos__mortgage_rate_new,policy__adjustment_target_area_regime,0.06077196054962008
1,ecos__mortgage_rate_new,policy__comprehensive_real_estate_tax_regime,0.006449746955516245
1,ecos__mortgage_rate_new,policy__acquisition_tax_regime,-0.013049575678325643
1,ecos__mortgage_rate_new,policy__speculative_overheated_district_regime,9.658118682017978e-05
1,ecos__mortgage_rate_new,policy__speculative_zone_regime,9.658118682031336e-05
1,ecos__unemployment_rate,ecos__base_rate,-0.053548852409892184
1,ecos__unemployment_rate,ecos__cd_91d_rate,0.11625743922514054
1,ecos__unemployment_rate,ecos__cpi_housing,0.005590446179151105
1,ecos__unemployment_rate,ecos__mortgage_rate_new,0.4106275742349814
1,ecos__unemployment_rate,ecos__unemployment_rate,-0.10423892662075229
1,ecos__unemployment_rate,reb__apt_jeonse_avg_price,0.0032941414873434573
1,ecos__unemployment_rate,reb__apt_jeonse_supply_demand,-0.00047939248228908164
1,ecos__unemployment_rate,reb__apt_monthly_rent_supply_demand,0.004111471271647122
1,ecos__unemployment_rate,reb__apt_sale_avg_price,0.0008725983280872013
1,ecos__unemployment_rate,reb__apt_sale_index,-0.040578880511947794
1,ecos__unemployment_rate,reb__apt_sale_supply_demand,0.00022676525010840748
1,ecos__unemployment_rate,policy__dsr_regime,0.3275249670799209
1,ecos__unemployment_rate,policy__dti_regime,-0.08873349664446392
1,ecos__unemployment_rate,policy__ltv_regime,0.0663299786561108
1,ecos__unemployment_rate,policy__real_estate_policy_regime,0.07470207542033255
1,ecos__unemployment_rate,policy__capital_gains_tax_regime,-0.007789800911659249
1,ecos__unemployment_rate,policy__adjustment_target_area_regime,-0.1750860532139245
1,ecos__unemployment_rate,policy__comprehensive_real_estate_tax_regime,-0.11122950600604037
1,ecos__unemployment_rate,policy__acquisition_tax_regime,0.001682600496100396
1,ecos__unemployment_rate,policy__speculative_overheated_district_regime,-0.006189865884004339
1,ecos__unemployment_rate,policy__speculative_zone_regime,-0.0061898658840041625
1,reb__apt_jeonse_avg_price,ecos__base_rate,-7.293127010093432
1,reb__apt_jeonse_avg_price,ecos__cd_91d_rate,4.256176955123977
1,reb__apt_jeonse_avg_price,ecos__cpi_housing,0.40946523686288555
