epoch,step,train_loss_step
0,9,0.008485409431159496
0,19,0.007445724681019783
0,29,0.006452261470258236
0,39,0.007985569536685944
0,49,0.006295031867921352
0,59,0.006784958764910698
0,69,0.005579999648034573
0,79,0.005496514495462179
0,89,0.005046954844146967
0,99,0.004087428096681833
0,109,0.004054714925587177
0,119,0.0035971752367913723
0,129,0.0031673938501626253
0,139,0.0027920324355363846
0,149,0.0026245934423059225
0,159,0.0022034659050405025
0,169,0.0023969197645783424
0,179,0.002268122509121895
0,189,0.001970697892829776
0,199,0.0017529207980260253
0,209,0.001566380844451487
0,219,0.0017756641609594226
0,229,0.0014439522055909038
0,239,0.0013041241327300668
