epoch,step,train_loss_step
0,9,132.17874145507812
0,19,70.68174743652344
0,29,46.71691131591797
0,39,42.07306671142578
0,49,39.599063873291016
0,59,34.74518966674805
0,69,32.22713851928711
0,79,37.030029296875
0,89,34.04363250732422
0,99,28.345569610595703
0,109,27.41827964782715
0,119,24.76352882385254
0,129,24.618810653686523
0,139,23.696765899658203
0,149,22.677417755126953
0,159,24.673160552978516
0,169,22.169992446899414
0,179,19.852312088012695
0,189,18.820907592773438
0,199,24.10481834411621
0,209,18.954017639160156
0,219,18.22153091430664
0,229,15.703492164611816
0,239,15.48121452331543
0,249,15.821821212768555
0,259,16.33409309387207
0,269,20.437149047851562
0,279,16.802377700805664
0,289,19.114925384521484
0,299,23.611671447753906
0,309,16.364681243896484
0,319,14.952723503112793
0,329,13.96358585357666
0,339,13.848268508911133
0,349,12.000478744506836
0,359,14.027159690856934
0,369,15.13061809539795
0,379,13.25973129272461
0,389,11.140692710876465
0,399,10.015254974365234
0,409,11.016470909118652
0,419,11.740395545959473
0,429,11.282355308532715
0,439,11.741130828857422
0,449,9.421359062194824
0,459,11.620562553405762
0,469,11.342168807983398
