epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,52.27707290649414,,,,,
0,19,,31.36490821838379,,,,,
0,29,,25.363798141479492,,,,,
0,39,,22.26727867126465,,,,,
0,49,,24.383995056152344,,,,,
0,59,,21.17499351501465,,,,,
0,69,,17.71839714050293,,,,,
0,79,,16.72710609436035,,,,,
0,89,,17.720199584960938,,,,,
0,99,,15.025389671325684,,,,,
0,109,,12.997437477111816,,,,,
0,119,,13.17129898071289,,,,,
0,129,,12.261242866516113,,,,,
0,139,,10.65745735168457,,,,,
0,149,,15.031005859375,,,,,
0,159,,13.493659973144531,,,,,
0,169,,11.479670524597168,,,,,
0,179,,8.69381332397461,,,,,
0,189,,8.08590316772461,,,,,
0,199,,9.702737808227539,,,,,
0,209,,7.414672374725342,,,,,
0,219,,11.714141845703125,,,,,
0,229,,13.745610237121582,,,,,
0,239,,8.279441833496094,,,,,
0,249,,7.21846342086792,,,,,
0,259,,6.058848857879639,,,,,
0,269,,7.934821605682373,,,,,
0,279,,12.13160228729248,,,,,
0,289,,7.68048095703125,,,,,
0,299,,8.99319839477539,,,,,
0,309,,7.762945175170898,,,,,
0,319,,8.786803245544434,,,,,
0,329,,7.28743839263916,,,,,
0,339,,6.697875022888184,,,,,
0,349,,11.656864166259766,,,,,
0,359,,5.7006072998046875,,,,,
0,366,,,250.79586791992188,0.1557379513978958,286.9117431640625,0.17269425094127655,237.4543914794922
0,366,16.160520553588867,,,,,,
1,369,,6.9140238761901855,,,,,
1,379,,6.699005126953125,,,,,
1,389,,6.179873943328857,,,,,
1,399,,6.402628421783447,,,,,
1,409,,6.070633411407471,,,,,
1,419,,4.850626468658447,,,,,
1,429,,5.2841105461120605,,,,,
1,439,,7.293438911437988,,,,,
1,449,,6.002302169799805,,,,,
1,459,,6.374189376831055,,,,,
1,469,,5.562063694000244,,,,,
1,479,,5.765693664550781,,,,,
1,489,,9.07026195526123,,,,,
1,499,,8.024523735046387,,,,,
1,509,,7.132553577423096,,,,,
1,519,,6.90925931930542,,,,,
1,529,,4.826436996459961,,,,,
1,539,,5.817512035369873,,,,,
1,549,,4.773041248321533,,,,,
1,559,,4.326221466064453,,,,,
1,569,,5.154054641723633,,,,,
1,579,,3.8845274448394775,,,,,
1,589,,8.114537239074707,,,,,
1,599,,4.877181053161621,,,,,
1,609,,4.450742244720459,,,,,
