epoch,pi_constraint_loss,pi_main_loss,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,,,9,,28.611703872680664,,,,,
0,,,19,,18.093490600585938,,,,,
0,,,29,,14.837379455566406,,,,,
0,,,39,,10.70050048828125,,,,,
0,,,49,,10.91118049621582,,,,,
0,,,59,,8.923196792602539,,,,,
0,,,69,,7.71065616607666,,,,,
0,,,79,,6.447160243988037,,,,,
0,,,89,,6.800160884857178,,,,,
0,,,99,,6.07967472076416,,,,,
0,,,109,,6.713972568511963,,,,,
0,,,119,,6.028867721557617,,,,,
0,,,129,,5.582037925720215,,,,,
0,,,139,,7.372794151306152,,,,,
0,,,149,,6.718434810638428,,,,,
0,,,159,,6.002879619598389,,,,,
0,,,169,,7.455427646636963,,,,,
0,,,179,,5.235416889190674,,,,,
0,,,189,,5.212702751159668,,,,,
0,,,199,,4.956547737121582,,,,,
0,,,209,,5.217731952667236,,,,,
0,,,219,,5.12083101272583,,,,,
0,,,229,,4.387767791748047,,,,,
0,,,239,,4.13600492477417,,,,,
0,,,249,,4.672475814819336,,,,,
0,,,259,,6.145055294036865,,,,,
0,,,269,,5.126904010772705,,,,,
0,,,279,,4.7309489250183105,,,,,
0,,,289,,4.914856433868408,,,,,
0,,,299,,4.418509006500244,,,,,
0,,,309,,3.7047998905181885,,,,,
0,,,319,,3.982182741165161,,,,,
0,,,329,,4.078481197357178,,,,,
0,,,339,,6.094139575958252,,,,,
0,,,342,,,295.39959716796875,0.18496930599212646,334.0882873535156,0.20902900397777557,286.03369140625
0,4.078673362731934,7.72934627532959,342,8.949037551879883,,,,,,
1,,,349,,4.438173294067383,,,,,
1,,,359,,5.780248641967773,,,,,
1,,,369,,3.9453842639923096,,,,,
1,,,379,,3.738879680633545,,,,,
1,,,389,,3.7165584564208984,,,,,
1,,,399,,4.088067531585693,,,,,
1,,,409,,3.4639127254486084,,,,,
1,,,419,,5.238210201263428,,,,,
1,,,429,,3.8030898571014404,,,,,
1,,,439,,3.952880859375,,,,,
1,,,449,,3.5380423069000244,,,,,
1,,,459,,3.864912271499634,,,,,
1,,,469,,3.43143367767334,,,,,
1,,,479,,3.212502956390381,,,,,
1,,,489,,4.172310829162598,,,,,
1,,,499,,4.156730651855469,,,,,
1,,,509,,3.272968292236328,,,,,
1,,,519,,3.4884989261627197,,,,,
1,,,529,,2.7186460494995117,,,,,
1,,,539,,4.795877456665039,,,,,
1,,,549,,3.63468599319458,,,,,
