epoch,pi_constraint_loss,pi_main_loss,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,,,9,,26.025226593017578,,,,,
0,,,19,,22.803668975830078,,,,,
0,,,29,,19.6509952545166,,,,,
0,,,39,,15.31307315826416,,,,,
0,,,49,,15.24425220489502,,,,,
0,,,59,,14.542410850524902,,,,,
0,,,69,,15.426773071289062,,,,,
0,,,79,,12.681831359863281,,,,,
0,,,89,,9.634052276611328,,,,,
0,,,99,,8.575959205627441,,,,,
0,,,109,,8.683334350585938,,,,,
0,,,119,,8.162293434143066,,,,,
0,,,129,,8.384283065795898,,,,,
0,,,139,,6.747939109802246,,,,,
0,,,149,,7.386772155761719,,,,,
0,,,159,,6.9821929931640625,,,,,
0,,,169,,7.425830841064453,,,,,
0,,,179,,5.908687114715576,,,,,
0,,,189,,5.70937967300415,,,,,
0,,,199,,6.003567695617676,,,,,
0,,,209,,5.179895401000977,,,,,
0,,,219,,7.365365505218506,,,,,
0,,,229,,5.97900915145874,,,,,
0,,,239,,5.912675380706787,,,,,
0,,,249,,4.822639465332031,,,,,
0,,,259,,4.465555191040039,,,,,
0,,,269,,4.483139514923096,,,,,
0,,,279,,5.929349899291992,,,,,
0,,,289,,5.870112419128418,,,,,
0,,,299,,4.44886589050293,,,,,
0,,,309,,5.226841449737549,,,,,
0,,,319,,4.655231475830078,,,,,
0,,,329,,4.69839334487915,,,,,
0,,,339,,5.642167568206787,,,,,
0,,,342,,,403.0165100097656,0.25268009305000305,449.4172668457031,0.29849773645401,409.5221252441406
0,4.520147323608398,9.363649368286133,342,10.56059741973877,,,,,,
1,,,349,,3.9504308700561523,,,,,
1,,,359,,4.970677852630615,,,,,
1,,,369,,5.333044052124023,,,,,
1,,,379,,4.622976303100586,,,,,
1,,,389,,7.841688632965088,,,,,
1,,,399,,4.1504130363464355,,,,,
1,,,409,,3.380082845687866,,,,,
1,,,419,,4.088919162750244,,,,,
1,,,429,,6.159029483795166,,,,,
1,,,439,,3.681457281112671,,,,,
1,,,449,,2.9669406414031982,,,,,
1,,,459,,4.145843982696533,,,,,
1,,,469,,3.8920679092407227,,,,,
1,,,479,,7.319885730743408,,,,,
1,,,489,,3.5859522819519043,,,,,
1,,,499,,3.312716245651245,,,,,
1,,,509,,3.7534193992614746,,,,,
1,,,519,,3.2786707878112793,,,,,
1,,,529,,3.156060218811035,,,,,
1,,,539,,3.391582727432251,,,,,
1,,,549,,3.8167245388031006,,,,,
1,,,559,,3.913466215133667,,,,,
1,,,569,,3.9031803607940674,,,,,
1,,,579,,3.07822322845459,,,,,
1,,,589,,3.5151851177215576,,,,,
1,,,599,,3.881899356842041,,,,,
1,,,609,,3.2696406841278076,,,,,
1,,,619,,4.229780197143555,,,,,
1,,,629,,3.4937756061553955,,,,,
1,,,639,,3.4054009914398193,,,,,
1,,,649,,3.6562163829803467,,,,,
1,,,659,,3.7978029251098633,,,,,
