epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,49.045867919921875,,,,,
0,19,,29.853912353515625,,,,,
0,29,,24.730966567993164,,,,,
0,39,,22.11968231201172,,,,,
0,49,,19.813072204589844,,,,,
0,59,,17.762187957763672,,,,,
0,69,,18.809221267700195,,,,,
0,79,,13.734295845031738,,,,,
0,89,,15.687102317810059,,,,,
0,99,,20.554790496826172,,,,,
0,109,,13.237466812133789,,,,,
0,119,,13.322761535644531,,,,,
0,129,,10.364263534545898,,,,,
0,139,,12.9336519241333,,,,,
0,149,,10.475204467773438,,,,,
0,159,,9.388627052307129,,,,,
0,169,,11.159894943237305,,,,,
0,179,,12.221220970153809,,,,,
0,189,,10.271136283874512,,,,,
0,199,,9.042492866516113,,,,,
0,209,,9.394697189331055,,,,,
0,219,,8.591378211975098,,,,,
0,229,,7.4062581062316895,,,,,
0,239,,9.517359733581543,,,,,
0,249,,7.219999313354492,,,,,
0,259,,7.698159694671631,,,,,
0,269,,6.836062908172607,,,,,
0,279,,9.481839179992676,,,,,
0,289,,10.001862525939941,,,,,
0,299,,8.330462455749512,,,,,
0,309,,5.937387466430664,,,,,
0,319,,7.8447346687316895,,,,,
0,329,,8.60882568359375,,,,,
0,339,,5.864840984344482,,,,,
0,343,,,209.48928833007812,0.12352902442216873,246.58018493652344,0.1347646564245224,204.9054718017578
0,343,16.009130477905273,,,,,,
