epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.015634434297680855,,,,,
0,19,,0.016438374295830727,,,,,
0,29,,0.016096236184239388,,,,,
0,39,,0.01486897561699152,,,,,
0,49,,0.014968751929700375,,,,,
0,59,,0.014088666066527367,,,,,
0,69,,0.012916923500597477,,,,,
0,79,,0.011768773198127747,,,,,
0,89,,0.010147014632821083,,,,,
0,99,,0.008676204830408096,,,,,
0,109,,0.006979427766054869,,,,,
0,119,,0.00589025067165494,,,,,
0,129,,0.005167086608707905,,,,,
0,139,,0.004479309543967247,,,,,
0,149,,0.00406296644359827,,,,,
0,159,,0.0038632401265203953,,,,,
0,169,,0.0035149194300174713,,,,,
0,179,,0.003263806225731969,,,,,
0,189,,0.003010269720107317,,,,,
0,199,,0.0028863614425063133,,,,,
0,209,,0.0028018064331263304,,,,,
0,219,,0.0026480143424123526,,,,,
0,229,,0.0022712808568030596,,,,,
0,239,,0.0020607842598110437,,,,,
0,249,,0.001996041974052787,,,,,
0,259,,0.0018842571880668402,,,,,
0,269,,0.001736942445859313,,,,,
0,279,,0.0018378080567345023,,,,,
0,289,,0.0018652613507583737,,,,,
0,299,,0.0016096284380182624,,,,,
0,309,,0.0015305040869861841,,,,,
0,319,,0.0015903975581750274,,,,,
0,329,,0.001464909058995545,,,,,
0,339,,0.001305673155002296,,,,,
0,349,,0.0012552589178085327,,,,,
0,359,,0.0013970566214993596,,,,,
0,369,,0.0020736909937113523,,,,,
0,379,,0.0015956235583871603,,,,,
0,389,,0.0014260715106502175,,,,,
0,399,,0.00120714888907969,,,,,
0,409,,0.0014825572725385427,,,,,
0,419,,0.0010363616747781634,,,,,
0,429,,0.0012460025027394295,,,,,
0,439,,0.001154702389612794,,,,,
0,449,,0.0010250238701701164,,,,,
0,459,,0.0010203276760876179,,,,,
0,469,,0.0009817250538617373,,,,,
0,479,,0.0009305694838985801,,,,,
0,489,,0.0010300653520971537,,,,,
0,499,,0.0010346757480874658,,,,,
0,509,,0.0009331759647466242,,,,,
0,519,,0.0008511163177900016,,,,,
0,529,,0.0010051982244476676,,,,,
0,539,,0.0008061461849138141,,,,,
0,549,,0.0009062878089025617,,,,,
0,559,,0.0010314853861927986,,,,,
0,569,,0.0008940481347963214,,,,,
0,579,,0.000907687412109226,,,,,
