,reb__apt_sale_avg_price,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
2026-01-01,1.245327399104962,0.5239442371941796,2.5409441935459034,1.2249297513179855,-0.6768241292729793,1.0351205581018146,1.0743391343477522,0.2886514929756665,-0.4930294225197511,0.8038390556929657
2026-02-01,1.2516807367649327,0.5664106567777876,2.600535132238946,0.7412251767000082,-0.7880923063857231,1.1691084426532545,0.6072793743586402,0.49409085402663977,-0.3727911830252957,0.7696695799025095
2026-03-01,1.2506076249216036,1.6852454362384397,2.762494744052035,1.078944801012547,-0.435966930257807,0.536640455359878,0.6467026507131186,-0.00020738965890410022,-0.21671910978989306,0.10330015434317885
2026-04-01,1.0656048905129376,1.3406962736189034,2.78968434124615,0.27631905780272303,-0.47750397573856185,0.13882491747786618,0.8059565255492471,0.21182841618771775,-0.18598605596863438,0.14584544615116274
2026-05-01,1.319786793837483,1.1119350796277447,2.544991266307342,0.12534325976651317,-0.7773025974784136,-8.687762612202832e-05,1.1264764276635477,0.1676391316004333,-0.37049711675050023,0.5277327384665811
2026-06-01,1.3218702364930177,1.2550903455225302,2.5801935821681727,0.44370099514160866,-0.9438835060257244,0.08533848338965466,0.7292884191168405,0.3374522244204754,-0.24231060918299763,0.47404881011563954
2026-07-01,1.333431389108079,2.0081411604911215,2.767096472559526,1.1061940214362278,-0.6182744378721694,-0.20696347773833113,0.15240659615967922,0.1991140536598186,-0.17742850009082112,0.009008399552007149
2026-08-01,1.2295305669272365,1.5002535174699374,3.00059760933165,0.9287699681861341,-0.4279369481269255,-0.34327455654114924,0.3544549378586488,0.5284180318482008,-0.2543008201674848,0.13539984418329998
2026-09-01,1.4037273825454224,1.1453508484075674,3.0502027314247107,0.7404279894309869,-0.4829197847340716,-0.02828541864864098,0.4129849834880992,0.5353002836755021,-0.4836801326491469,0.40291599735895883
2026-10-01,1.420999360448553,1.6645638254398847,2.9492827199708076,1.4699530855488914,-0.781903268782071,-0.1018376015269351,0.11871460149137114,0.7135386403297415,-0.3299309035726923,0.360298020955102
2026-11-01,1.337809254057968,2.0243624785350214,2.847168544310847,1.3344855890943366,-0.7464512824042308,0.1506322770472952,0.34132640051124397,0.372231301175163,-0.3188324852477371,0.06610648255588589
2026-12-01,1.3180821936779132,1.6314283304738704,2.8194078331789747,1.0395175320175807,-0.8260045050674423,0.29610479429272596,0.8536481332958117,0.45604511238977374,-0.41239758581685715,0.28420197097912586
2027-01-01,1.4592188398268817,1.2516604613445388,2.967733697111516,0.7353497532582267,-0.746252631483546,0.3740891306759293,0.8367528347519182,0.370587216445303,-0.4874445303629731,0.43352325033224387
2027-02-01,1.3919638739559872,1.6107513183977467,3.0385696956620567,1.0787206708252253,-0.811052389604549,0.27371922745907584,0.26951812317268087,0.24878663101642173,-0.3647564378106596,0.19874777972619756
2027-03-01,1.322463162638044,2.067209215802186,2.9433757536442835,1.2299456732389675,-0.8520849690311322,0.30164277855362,-0.049076418177490755,0.37359862015839895,-0.4367172963917576,-0.09665720717529933
2027-04-01,1.3547014792266476,1.7637905188552756,3.082591234042225,0.7741885011957303,-0.6870712383621655,0.2220333529220726,0.05159424320020434,0.5531861337761756,-0.5753139829539435,0.05129148736313696
2027-05-01,1.4034194609164434,1.345554792768414,3.1550910614016208,0.7209249132664151,-0.577646864713389,0.08317155138839594,0.2461576455500889,0.6106892641668487,-0.4266767041131838,0.23573923454692747
2027-06-01,1.346015555283554,1.6840677788353284,3.120821530944128,1.0569762209923315,-0.5813854849401008,0.14182014309137214,0.3775091733025977,0.4010371249002609,-0.2517471131540381,-0.015002524000211515
2027-07-01,1.3382338568958962,1.8754494285342556,3.250523441359781,1.146244912580936,-0.37409333723850435,0.22167691103154707,0.13400149685857587,0.6242467823315103,-0.2998688428158065,-0.18977609585526944
2027-08-01,1.4336572624144248,1.5787138218390386,3.4360443350552123,0.9280245540094616,-0.13160478802250353,0.041118319378084855,0.2583748020078849,0.795874655487496,-0.34954261866726455,0.00211815778117852
2027-09-01,1.4263220560639784,1.382788170553899,3.591201060597702,0.8182060160086144,-0.05713214944726652,0.0368082670096741,0.12033906567379082,0.8940004550546086,-0.21350365200227772,0.1345897681068985
2027-10-01,1.3601928652431814,1.9497448222125235,3.6447172588585723,1.0866656335479896,-0.18727981637923818,0.017842448342511474,0.16162936770609782,0.759323923396211,-0.023682343421787877,-0.10959365870404031
2027-11-01,1.3732971037945663,1.923150978330324,3.580772846718152,0.7285665846523179,-0.11061360263215902,0.32404073543570977,0.49551125492345016,0.6473185680520066,0.012589444730206178,-0.2098754436117447
2027-12-01,1.4378476249066343,1.535262840090067,3.538378097068154,0.6118586750961552,-0.04137993416903085,0.4563695873489775,1.005400409493875,0.6499683451483143,-0.1628886788181445,0.09620015324327558
2028-01-01,1.4176648831315317,1.6289233403720593,3.5495259168451696,0.7910417648999069,-0.06086275241321615,0.5019203159613261,0.9529184861908502,0.47308004818801463,-0.11398309096185821,0.1318965012510651
2028-02-01,1.3963384120434474,2.178155556121742,3.524784735482851,1.0308032899495343,-0.24579074482232577,0.5310443287550068,1.0306592117868714,0.23865640576269653,0.05663333614509947,0.00813893009854011
2028-03-01,1.4426397467791792,2.254077148111131,3.703421490311614,0.6811179149840254,-0.19612138158765513,0.5911083907098642,0.5731892831171927,0.5560604465283823,-0.05339444206157129,-0.035600299214294306
2028-04-01,1.533452855387095,2.0503693976074215,3.83166682872055,0.4056337815349411,0.006329863494083154,0.4848767403113583,0.5782233197391666,0.6376115939476732,-0.19308801777199047,0.03649232850699846
