timestamp,reb__apt_sale_avg_price,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
2010-01-01,-0.02240586797431173,-1.6735519857821561,-2.1442898696980266,0.5438286791051664,2.1586056846095603,2.0732901364436707,0.028502602252259368,-0.17847166124632946,-0.13741032087183977,-0.15823403304277894
2010-02-01,-0.13985670023017155,-1.6823844869726057,-1.9311111154361822,0.7712556811745227,2.0306897496457226,1.46748504846749,-0.20475487857386265,-0.16106957790039683,-0.23458108469192018,-0.1086025170585613
2010-03-01,-0.20163465885648899,-1.6838592167684325,-1.6954909978622252,1.0113576582638746,1.8628609934883706,0.7026946891164992,-0.4804500823184301,-0.1678964128625398,-0.34992363880699284,-0.042649591302315354
2010-04-01,-0.23823730168803287,-1.6311417772494101,-1.6561302847855461,0.9552399205392509,1.7449949402102307,0.35249719528784673,-0.5606940724378789,-0.2803559463338383,-0.3892839307877025,-0.05335163865983081
2010-05-01,-0.19766774870552767,-1.6213044246824926,-1.4811042904691523,1.1034363850565436,1.6002416780969293,-0.21873767152355977,-0.7430180897642557,-0.29820940533997436,-0.4624756652175095,-0.0022410392424896675
2010-06-01,-0.17862179212231732,-1.5965188201311236,-1.5991225890734664,0.9239665016751425,1.6293501224214424,0.08336073032897699,-0.5726923682864896,-0.3369976765518873,-0.3846363136790201,-0.0019525531174197919
2010-07-01,-0.1870392993125762,-1.6278157880279451,-1.6717511205990099,0.8805403939195581,1.6970916172873722,0.4381809953485879,-0.39405362339204686,-0.26725276136115017,-0.29636901872295823,0.035736744261967324
2010-08-01,-0.17748819219657344,-1.6542689542399356,-1.4828451605079154,1.116457157509596,1.6215498619735222,0.0029852818522855262,-0.5953914229294489,-0.20773923553748236,-0.38050039344066844,0.057061501779828105
2010-09-01,-0.20654041425377492,-1.628802560860408,-1.4805730743330976,1.0271194644248816,1.608221229444112,0.20559592330882903,-0.47495274335715176,-0.20443828428071759,-0.31914235081595044,0.043236543826116025
2010-10-01,-0.17144274189844652,-1.623957140344352,-1.4509777524101328,1.041190476715593,1.582217184777849,0.13214818702430642,-0.4908075870052928,-0.20804232325184674,-0.32387586183303474,0.05342675573572814
2010-11-01,-0.09246292533307182,-1.6734216759782576,-1.2985321418079196,1.2926031847077426,1.5215618573092695,-0.3273849445649166,-0.6621211723429733,-0.14672424508928533,-0.39385874251609315,0.15307112943588647
2010-12-01,-0.08568279725639875,-1.6451100381816186,-1.4496169088872792,1.0507156578841217,1.5981931677583798,0.27372369915596206,-0.3828226470018471,-0.15828661386183107,-0.2659086261441656,0.1257908756117147
2011-01-01,-0.15366823386599673,-1.6588238654276464,-1.3628974719912206,1.0927742932694695,1.5843465904372018,0.4493619656293294,-0.264725530444336,-0.06594405592595243,-0.19696745112571903,0.15631554431365663
2011-02-01,-0.20543178414964663,-1.6491855714027377,-1.4391649967132634,0.9488284352972352,1.6386070176568808,0.9378379510025407,-0.028971005656138693,-0.029164245087049956,-0.08090090100976144,0.16022127724965857
2011-03-01,-0.23824503253330895,-1.6929257010542913,-1.3415993461044784,1.0859169468430072,1.6203222281349676,0.9041782604089743,0.0019110780995602594,0.07829841336495025,-0.04982717927267219,0.24580605210980228
2011-04-01,-0.230407272356167,-1.7130708325482382,-1.1351895378134196,1.3237438076448642,1.5162556528835474,0.38560400689165775,-0.2101449318920532,0.12512294324612017,-0.13623486390162165,0.28642763084189443
2011-05-01,-0.2253515810604277,-1.7208984510499359,-0.9034837221488983,1.5363902187796925,1.395249510830174,-0.05897679591859077,-0.3749148979082275,0.18277900548383708,-0.19650941067849956,0.3140830619770976
2011-06-01,-0.21936044695532758,-1.7407221650787141,-0.875980401045575,1.5650913189013205,1.3885980808219807,0.015329488520098786,-0.29372769096934426,0.23777782609447218,-0.14948975454325858,0.36452175745052356
2011-07-01,-0.14837067825224304,-1.7418624799218523,-0.8733475894024472,1.5562205204440944,1.3936154908181129,0.09160407722617218,-0.25540262266251745,0.2557534109151848,-0.1286241349272138,0.36819685966286403
2011-08-01,-0.2292731836815329,-1.7475100081640447,-0.7143413724506977,1.7100190744486015,1.3183334485585316,-0.22107761955860888,-0.3893866067600775,0.29133280967748454,-0.18287754025185182,0.3717139657477317
2011-09-01,-0.21828830264223853,-1.7383881204923806,-0.7094200550692633,1.6820393591802185,1.3133786930209053,-0.15025386443846883,-0.35236065542934003,0.29458889231375185,-0.16422742003242918,0.35689810311515885
2011-10-01,-0.1901441433017072,-1.7194620279454544,-0.6067224121471009,1.7030820439895948,1.2453251614161167,-0.20867878736230105,-0.342360376174105,0.3156903929511381,-0.14945348704830025,0.34584189435707907
2011-11-01,-0.19811998265644012,-1.7112551061492751,-0.5841904431036637,1.6950486060285428,1.224398933079586,-0.20941013701150912,-0.3292266021393955,0.3186365903854884,-0.1404861542698172,0.3362111357040289
