,reb__apt_sale_avg_price,type
2030-02-01,2081.993969890626,forecast
2030-03-01,2132.779956664917,forecast
2030-04-01,2063.7603253636503,forecast
2030-05-01,2059.502761080194,forecast
2030-06-01,2135.702795476934,forecast
2030-07-01,2159.656319039805,forecast
2030-08-01,2104.8847473638784,forecast
2030-09-01,2126.6423840347834,forecast
2030-10-01,2199.4854637480253,forecast
2030-11-01,2183.78109782943,forecast
2030-12-01,2122.876983637446,forecast
2031-01-01,2168.0868727611787,forecast
2031-02-01,2237.752072974762,forecast
2031-03-01,2211.661209481858,forecast
2031-04-01,2182.6418678996242,forecast
2031-05-01,2243.6721872694593,forecast
2031-06-01,2294.8951951452314,forecast
2031-07-01,2253.7683475601184,forecast
2031-08-01,2240.312085013099,forecast
2031-09-01,2305.767630816912,forecast
2031-10-01,2328.5615402099183,forecast
2031-11-01,2270.223212253214,forecast
2031-12-01,2275.6462336783256,forecast
2032-01-01,2339.9021970051103,forecast
2032-02-01,2338.16939834961,forecast
2032-03-01,2288.2904207370275,forecast
2032-04-01,2315.6313491701785,forecast
2032-05-01,2364.1095161514477,forecast
2032-06-01,2337.6602260448008,forecast
2032-07-01,2302.336899218246,forecast
2032-08-01,2349.97771812732,forecast
2032-09-01,2383.41258118513,forecast
2032-10-01,2340.323660437869,forecast
2032-11-01,2323.227836449125,forecast
2032-12-01,2380.3854127921004,forecast
2033-01-01,2394.7666146191673,forecast
2033-02-01,2351.0377206009844,forecast
2033-03-01,2364.062964463009,forecast
2033-04-01,2426.9070706739044,forecast
2033-05-01,2413.7344156377912,forecast
2033-06-01,2365.7745495705703,forecast
2033-07-01,2402.0019225815972,forecast
2033-08-01,2458.4459438064196,forecast
2033-09-01,2424.641617469592,forecast
2033-10-01,2386.357884481853,forecast
2033-11-01,2438.196121811202,forecast
2033-12-01,2478.3404103695666,forecast
2034-01-01,2429.837368479578,forecast
2034-02-01,2412.374551215904,forecast
2034-03-01,2481.9684144638554,forecast
2034-04-01,2502.089714660915,forecast
2034-05-01,2441.7247132972902,forecast
2034-06-01,2442.558941603485,forecast
2034-07-01,2513.0145448985177,forecast
2034-08-01,2509.5056772588437,forecast
2034-09-01,2449.640437527222,forecast
2034-10-01,2471.3876847182846,forecast
2034-11-01,2536.297901464579,forecast
2034-12-01,2511.921317996531,forecast
2035-01-01,2464.8904133312317,forecast
2035-02-01,2515.890894631703,forecast
2035-03-01,2576.9601795937924,forecast
2035-04-01,2539.7501821362725,forecast
2035-05-01,2508.981485189571,forecast
2035-06-01,2572.0269363839902,forecast
2035-07-01,2612.487739737669,forecast
2035-08-01,2565.390669190916,forecast
2035-09-01,2554.757058138855,forecast
2035-10-01,2622.250348454157,forecast
2035-11-01,2637.9341927047926,forecast
2035-12-01,2586.446657109135,forecast
