,reb__apt_sale_avg_price,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
2024-01-01,0.8513425973127395,0.7757160141856811,1.571342188459894,-0.17752725518384072,-1.4698070797315443,2.5365266245547637,1.436593458630031,0.46280566795850486,2.0754400700737334,-1.2862257306273281
2024-02-01,0.4972686339720208,-0.5576410414710997,1.348160891716006,-0.5987367566322601,-2.997660087076263,1.5553830732334148,-0.613083000559672,0.7342545317262759,2.220681875691953,-1.5514518783241333
2024-03-01,0.7849191685764589,-1.2412352168310505,1.7728158486276913,-2.648402951187017,-1.5447625831284821,1.5773238192362404,-1.1706001728362863,0.6746457440706699,2.0899005697834525,-1.6933625244189439
2024-04-01,1.0678991753185798,-1.702051810154913,2.0803364647004647,-2.966268294187814,-2.4664376717439236,1.183400428941738,-2.249276494417127,1.1757875064374002,2.4106009694256594,-2.213780326854585
2024-05-01,1.1108910428271357,0.4557577500325891,1.877404800406576,-2.379779223863723,-2.8648412405910686,1.3302120948349856,-2.921939321492823,1.852066720767525,2.6539885213068475,-2.8920806086622806
2024-06-01,1.4265859098735,2.68524829513456,0.9798701227780273,-2.232215168890079,-3.96490063084591,1.7665775229153375,-4.037009144198118,3.3982507972847,3.1225323610637887,-2.8401428236910924
2024-07-01,1.0381357697366558,4.295641869541924,1.4333213285762954,-1.3552299384682995,-3.8960290311618033,0.883431778762966,-4.027911749320017,4.281922955448499,2.8593702366628673,-3.184600774073956
2024-08-01,0.8582614607151396,4.3244763832657656,1.7606513377542878,-0.9284712885477187,-3.9462045877028418,-0.22621328794095952,-3.7686616751106836,4.066810672875488,2.3021284633262162,-3.0572390816860144
2024-09-01,0.8572509349602103,4.9941457196238375,1.736040376258123,-0.6845032423461133,-4.375233360399815,0.08592921185784963,-2.904390205228201,4.249329730885089,1.9147941436771392,-3.4812647717090957
2024-10-01,0.9096841145914265,5.769723193627477,2.281907118138416,-0.8150649165032489,-1.9746017901062893,-0.03352438599056562,-0.8076783971659323,4.513425543780957,1.9861244219911418,-3.7413200408264617
2024-11-01,1.0840651426599561,4.4807420312153905,2.732738504518645,-2.603067348858062,-0.22418316095666513,-0.00042809006772071,-0.22650381072091358,3.9904186749582258,2.448781944511117,-4.03333936989759
2024-12-01,1.3142562228250334,3.19870111772134,3.1306022009030623,-3.7877145754565023,0.3178521976062585,-0.49235701525606057,0.041885691458715124,3.2920997888216563,1.799465435853557,-3.877810650869103
2025-01-01,1.6505580515258704,2.691901635218594,4.0020863361885874,-2.5215650000979175,0.08035917266198589,-1.7373290058487978,-0.1111272963921599,2.058750391855739,-0.43950112286934706,-3.19378163255963
2025-02-01,2.26593816398322,2.98906385691412,4.44088116223558,-1.6096597623574878,1.1634328108496874,-3.0507364683784166,0.6946913244358426,1.1062733424559361,-1.8862891763823344,-3.110577955751123
2025-03-01,2.2448994598992758,4.923116343361446,4.422335405555323,-0.3344251012203976,1.2027424433286347,-4.070746097213652,1.905493413127822,0.5935620391022853,-2.971634206446715,-2.4351063514330233
2025-04-01,2.29556064687445,7.18245372463488,4.261830076108338,0.6044266547773669,2.269109733843453,-5.066532582772465,3.5719218670683333,-0.04557471801783386,-4.19981993336319,-1.3764197308858692
2025-05-01,2.1611508990549795,7.7844860179357145,4.496278163255451,0.9404656959978577,3.124591563194076,-5.935311212613165,4.717836211327663,-0.3717301075520676,-4.760800398960068,-0.03927335621098671
2025-06-01,1.8571975422257527,8.157061403457247,5.022135004973022,2.294556849796108,4.695606327739931,-6.602575198476718,6.734765932122352,-1.3872316212281373,-6.0395225450694765,0.8125951918637739
2025-07-01,1.8423189125960122,7.423207791333876,4.964202589892443,1.7056524586785384,6.183658426401276,-4.863956845674125,8.48168941684111,-2.371782863410916,-5.7333951695026,1.4521992937010912
2025-08-01,1.5237327375427125,6.2960584107396595,4.9908453174788585,0.684419705178261,7.331551060940134,-3.2819476082625343,8.763282246012253,-2.389783014305902,-4.564972150908938,1.5429460940293382
2025-09-01,0.9296733854607722,2.096122135699837,5.630459150503459,-1.7983065669978764,8.495350163728165,-1.9606603973080547,7.924206286795031,-2.811808411055003,-3.329718215821298,1.4624269759660788
2025-10-01,0.864497159103778,-1.831366684184769,5.389650433350582,-4.405607106324137,7.7120828603919005,0.13459750424676553,5.953193243553384,-3.2599686437711544,-2.593761111293956,1.5958714809817252
2025-11-01,0.913828160235392,-3.400745825038095,5.959230394219558,-4.410974917708651,5.951773197494914,0.8296369668691561,3.6466798811453986,-3.380010425564295,-2.6772709747815355,2.372804367910205
2025-12-01,1.1232887693397515,-3.6508416832649857,5.598538304977636,-5.254529518898596,4.827491489928728,2.830378992078454,2.223083396274174,-3.1001000311069618,-1.0780824063711891,2.0824303926159953
