component,explained_variance_ratio,cumulative_ratio
PC1,0.480196771219875,0.480196771219875
PC2,0.18194315799967103,0.662139929219546
PC3,0.1530013357802636,0.8151412649998095
PC4,0.10488263481325061,0.9200238998130601
PC5,0.024071073787629214,0.9440949736006893
PC6,0.019814413969554967,0.9639093875702442
PC7,0.010461519255901774,0.974370906826146
PC8,0.006712221433271501,0.9810831282594176
PC9,0.004780131959184894,0.9858632602186025
