component,explained_variance_ratio,cumulative_ratio
PC1,0.29675510048893455,0.29675510048893455
PC2,0.27793248884140925,0.5746875893303438
PC3,0.1706428355137294,0.7453304248440732
PC4,0.12670690713500304,0.8720373319790762
PC5,0.04517781646967744,0.9172151484487536
PC6,0.027002839076908865,0.9442179875256624
PC7,0.016108372997160978,0.9603263605228234
PC8,0.010075155344212145,0.9704015158670355
PC9,0.008164494937932042,0.9785660108049675
