dong,timestamp,pred_p10,pred_p50,pred_p90,actual,abs_error
가락동,2024-01-01,1242.3428759798203,1243.5643517601666,1245.1182608886054,1370.743302,127.17895023983351
가락동,2024-02-01,1296.8450486205377,1299.9740184323828,1303.4668264439224,1401.303058,101.3290395676172
가락동,2024-03-01,1309.0563669264204,1315.2695305454415,1322.1880958485356,1442.917854,127.64832345455852
가락동,2024-04-01,1412.828894950375,1420.1837492272057,1428.2722754152276,1473.157825,52.97407577279432
가락동,2024-05-01,1420.9852765437968,1428.7239709552086,1437.6720822958648,1527.547575,98.82360404479141
가락동,2024-06-01,1502.9892298446994,1512.6631221726193,1524.014608483296,1603.249643,90.58652082738081
가락동,2024-07-01,1492.580233739512,1509.045375378652,1527.1914641703124,1566.832797,57.78742162134813
가락동,2024-08-01,1565.1771044485924,1585.0491245823,1607.228004766464,1530.407614,54.64151058230004
가락동,2024-09-01,1621.7224025153016,1644.1026371989449,1669.604672588345,1498.89207,145.21056719894477
가락동,2024-10-01,1619.8933114550778,1642.42699567764,1668.6990262813888,1506.263154,136.16384167764
가락동,2024-11-01,1681.1678758278424,1707.1814280014644,1737.8000596851257,1581.085986,126.09544200146433
가락동,2024-12-01,1690.4570149643416,1717.7214473212284,1750.3104268074087,1591.55761,126.16383732122836
가락동,2025-01-01,1711.5298629236113,1741.0897973315446,1776.7243645541603,1643.44917,97.64062733154447
가락동,2025-02-01,1796.0555488249536,1827.6680050832485,1866.0468929245224,1848.302187,20.63418191675146
가락동,2025-03-01,1872.824263934209,1906.6993831247853,1948.2991867687313,1787.449125,119.2502581247852
가락동,2025-04-01,2015.7613406044147,2053.372304717181,2100.008245048998,1463.368975,590.003329717181
가락동,2025-05-01,2072.9207131993167,2113.5687636661637,2164.285406954149,1588.395326,525.1734376661636
가락동,2025-06-01,2175.599152443121,2219.7405195209626,2275.531410326755,1667.883046,551.8574735209627
가락동,2025-07-01,2174.8022743907472,2219.3961060447823,2275.5457365273487,1632.842055,586.5540510447822
가락동,2025-08-01,2279.5486312474186,2329.3623970691715,2392.0624095746643,1456.397904,872.9644930691716
가락동,2025-09-01,2358.6100177499693,2412.3449578578256,2480.4852938883655,1634.041752,778.3032058578256
가락동,2025-10-01,2374.174611000309,2429.145873031019,2499.5765606915893,1654.065972,775.0799010310191
가락동,2025-11-01,2489.241767594679,2549.0036522061855,2626.0780280548424,1705.957652,843.0460002061855
가락동,2025-12-01,2516.4393358379234,2579.5278799676717,2661.3620510564083,1506.09334,1073.4345399676718
가리봉동,2024-01-01,1233.4351344994257,1235.6911149568118,1237.8159509301881,1370.743302,135.05218704318827
가리봉동,2024-02-01,1287.8943411679054,1291.4120424348625,1294.6972300964867,1401.303058,109.89101556513742
가리봉동,2024-03-01,1360.8022616448588,1366.4610549466745,1372.0956099832797,1442.917854,76.45679905332554
가리봉동,2024-04-01,1477.7178556897238,1485.2809986851948,1492.8891268611046,1473.157825,12.123173685194843
가리봉동,2024-05-01,1486.7400069659002,1495.1098060804245,1503.4508202515515,1527.547575,32.43776891957555
가리봉동,2024-06-01,1448.3607318708985,1459.505446694494,1470.5848763183449,1603.249643,143.7441963055062
가리봉동,2024-07-01,1403.6793853981567,1418.5855927059097,1433.135898200908,1566.832797,148.24720429409035
가리봉동,2024-08-01,1444.4406440194152,1463.1891949295755,1481.6655630823725,1530.407614,67.21841907042449
가리봉동,2024-09-01,1535.5949951505033,1557.2891276819898,1578.9500900892133,1498.89207,58.397057681989736
가리봉동,2024-10-01,1550.4148655768554,1572.8260159010583,1595.2151951056064,1506.263154,66.56286190105834
가리봉동,2024-11-01,1630.0932701550944,1655.1125229521983,1680.5320698265405,1581.085986,74.02653695219828
가리봉동,2024-12-01,1677.8378755980923,1705.4927470259336,1734.1000172789247,1591.55761,113.9351370259335
가리봉동,2025-01-01,1756.7491220947793,1787.365209596674,1819.4848417854255,1643.44917,143.91603959667395
가리봉동,2025-02-01,1851.2417770415393,1885.506079258526,1921.8224490026464,1848.302187,37.20389225852591
