timestamp,actual,forecast,forecast_p10,forecast_p90
2024-01-01,1370.743302,1237.4106721752175,1235.371532238489,1239.4189258278334
2024-02-01,1401.303058,1293.2819791918937,1289.84141428241,1296.6189206966421
2024-03-01,1442.917854,1355.4448493107236,1349.6596405031794,1361.363551828498
2024-04-01,1473.1578250000002,1471.2666296587324,1463.74133445408,1478.9858191910373
2024-05-01,1527.547575,1480.8214410844062,1472.580576150407,1489.30103623623
2024-06-01,1603.249643,1471.021177270726,1460.1860326379783,1482.1675057634366
2024-07-01,1566.832797,1438.1241073081962,1422.8780653752374,1453.4540783238108
2024-08-01,1530.4076140000002,1489.4916175104306,1470.496848609697,1508.7709354472906
2024-09-01,1498.89207,1576.0295543228108,1554.1834776174273,1598.5233215508704
2024-10-01,1506.263154,1587.8481182318092,1565.406622829476,1611.0791107377574
2024-11-01,1581.085986,1666.3738248485809,1641.1358074102668,1692.9193817229138
2024-12-01,1591.55761,1708.179696757623,1680.6044932468826,1737.6506559704112
2025-01-01,1643.44917,1777.438758080205,1747.0456661517042,1810.321655152877
2025-02-01,1848.302187,1873.0816604418624,1839.3836040521987,1909.8491811970184
2025-03-01,1787.449125,1957.0629836393207,1920.4220636758557,1997.6815583688167
2025-04-01,1463.3689749999999,2115.0470532443264,2074.825050605403,2160.130168354639
2025-05-01,1588.3953259999998,2202.7981030352335,2159.2001658630265,2252.2065960884024
2025-06-01,1667.883046,2312.580670500499,2264.888240890584,2367.43978176408
2025-07-01,1632.842055,2306.3091551779085,2257.908021038877,2361.7918058959285
2025-08-01,1456.397904,2216.329298802072,2166.3606238446514,2273.0929186851545
2025-09-01,1634.041752,2236.8261728388943,2181.508146601204,2299.4720136992314
2025-10-01,1654.065972,2250.8239110609684,2194.4245987437107,2315.361807185831
2025-11-01,1705.957652,2392.326244166123,2331.890435954253,2462.0300258600882
2025-12-01,1506.0933400000001,2453.6886360167628,2389.170068067908,2528.803078871989
