dong,adf_stat,p_value,used_lag,n_obs,is_stationary
가락동,-7.632790454023785,5.039085822864969e-10,5,186,True
가리봉동,-7.632790454023785,5.039085822864969e-10,5,186,True
가산동,-7.632790454023785,5.039085822864969e-10,5,186,True
가양동,-7.632790454023785,5.039085822864969e-10,5,186,True
갈월동,-7.632790454023785,5.039085822864969e-10,5,186,True
갈현동,-7.632790454023785,5.039085822864969e-10,5,186,True
강일동,-7.632790454023785,5.039085822864969e-10,5,186,True
개봉동,-7.632790454023785,5.039085822864969e-10,5,186,True
개포동,-7.632790454023785,5.039085822864969e-10,5,186,True
거여동,-7.632790454023785,5.039085822864969e-10,5,186,True
고덕동,-7.632790454023785,5.039085822864969e-10,5,186,True
고척동,-7.632790454023785,5.039085822864969e-10,5,186,True
공덕동,-7.632790454023785,5.039085822864969e-10,5,186,True
공릉동,-7.632790454023785,5.039085822864969e-10,5,186,True
공항동,-7.632790454023785,5.039085822864969e-10,5,186,True
광장동,-7.632790454023785,5.039085822864969e-10,5,186,True
교북동,-7.632790454023785,5.039085822864969e-10,5,186,True
구기동,-7.632790454023785,5.039085822864969e-10,5,186,True
구로동,-7.632790454023785,5.039085822864969e-10,5,186,True
구산동,-7.632790454023785,5.039085822864969e-10,5,186,True
구수동,-7.632790454023785,5.039085822864969e-10,5,186,True
구의동,-7.632790454023785,5.039085822864969e-10,5,186,True
군자동,-7.632790454023785,5.039085822864969e-10,5,186,True
궁동,-7.632790454023785,5.039085822864969e-10,5,186,True
길동,-7.632790454023785,5.039085822864969e-10,5,186,True
길음동,-7.632790454023785,5.039085822864969e-10,5,186,True
남가좌동,-7.632790454023785,5.039085822864969e-10,5,186,True
남창동,-7.632790454023785,5.039085822864969e-10,5,186,True
남현동,-7.632790454023785,5.039085822864969e-10,5,186,True
내곡동,-7.632790454023785,5.039085822864969e-10,5,186,True
내발산동,-7.632790454023785,5.039085822864969e-10,5,186,True
내수동,-7.632790454023785,5.039085822864969e-10,5,186,True
냉천동,-7.632790454023785,5.039085822864969e-10,5,186,True
노고산동,-7.632790454023785,5.039085822864969e-10,5,186,True
노량진동,-7.632790454023785,5.039085822864969e-10,5,186,True
녹번동,-7.632790454023785,5.039085822864969e-10,5,186,True
논현동,-7.632790454023785,5.039085822864969e-10,5,186,True
능동,-7.632790454023785,5.039085822864969e-10,5,186,True
답십리동,-7.632790454023785,5.039085822864969e-10,5,186,True
