dong,timestamp,pred_p10,pred_p50,pred_p90
가락동,2026-01-01,1520.4516784750417,1522.589822509006,1524.4627827966997
가락동,2026-02-01,1582.9605873430396,1585.9600786526582,1588.6380045668589
가락동,2026-03-01,1531.2374579871373,1535.0091423167264,1538.5204908632682
가락동,2026-04-01,1260.836311536309,1264.4252758448654,1268.0238550243128
가락동,2026-05-01,1369.5231153100965,1373.935688473994,1378.39663981743
가락동,2026-06-01,1436.859316608916,1441.9785083268887,1447.0745570091954
가락동,2026-07-01,1406.5462708698915,1411.7249983394365,1416.8915200918614
가락동,2026-08-01,1254.331680807696,1259.0818428482648,1264.435827075606
가락동,2026-09-01,1408.1757522162186,1413.961100376223,1420.488680382713
가락동,2026-10-01,1425.2747112220798,1431.3828889552256,1438.2025114447013
가락동,2026-11-01,1469.7919940942993,1476.5785328258178,1484.0111275998763
가락동,2026-12-01,1297.0986144420478,1303.2905803928477,1310.6510652447437
가락동,2027-01-01,1319.0598802521727,1326.2238790757156,1334.441703609433
가락동,2027-02-01,1473.3846769666145,1481.8051929632206,1491.523632734039
가락동,2027-03-01,1427.510862674541,1435.9166924620483,1445.668801111462
가락동,2027-04-01,1169.8158591124593,1176.9804435986186,1185.5053521644181
가락동,2027-05-01,1270.1416343906942,1278.372721858517,1288.1061062203514
가락동,2027-06-01,1332.4649503865928,1341.57543824342,1352.185626412989
가락동,2027-07-01,1304.3568144903127,1313.427990283806,1323.9788427805254
가락동,2027-08-01,1163.2115717206705,1171.4134965061444,1181.5108735089427
가락동,2027-09-01,1305.759907108031,1315.3768580705046,1327.184557352149
가락동,2027-10-01,1321.6431546993203,1331.611639256218,1343.7626663644057
가락동,2027-11-01,1362.8480610200972,1373.5723749461129,1386.4680774274914
가락동,2027-12-01,1202.6885468492546,1212.344667913006,1224.4765255697369
가락동,2028-01-01,1223.1492163079993,1233.751929482778,1246.7553766704577
가락동,2028-02-01,1366.2793921875143,1378.4999276214292,1393.5190565895462
가락동,2028-03-01,1324.5033794426329,1336.586669070644,1351.4661990300635
가락동,2028-04-01,1085.060154857273,1095.2197788930926,1107.9168850476672
가락동,2028-05-01,1178.394717962841,1189.8449058304477,1204.0745759888287
가락동,2028-06-01,1236.178041784749,1248.6355872543375,1263.9389290777601
가락동,2028-07-01,1210.2581693492878,1222.5944194928177,1237.7293436596158
가락동,2028-08-01,1079.2778599960354,1090.3822935363817,1104.5215770430304
가락동,2028-09-01,1211.4673564422872,1224.3040776489543,1240.6090885301865
가락동,2028-10-01,1226.159671578535,1239.3702951424202,1256.0601513688398
가락동,2028-11-01,1264.318431929941,1278.3490581616384,1295.8960945667898
가락동,2028-12-01,1115.7233330085849,1128.2856652389646,1144.4753091974906
가락동,2029-01-01,1134.7816231206605,1148.2802968610563,1165.3651561046152
